airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay
BNA,2008,75174,75172,0.7713,0.7424,0.7518,13.75,11.66,2.56,15.57,2.88,1.1,2.95,14.53
BNA,2009,69219,69209,0.7961,0.7722,0.7871,12.05,11.37,2.18,13.35,2.61,1.03,2.72,12.04
BNA,2010,69024,69292,0.7733,0.736,0.783,12.74,11.8,2.64,14.54,2.3,1.09,2.52,11.87
BNA,2011,69429,69281,0.7883,0.7602,0.7869,12.51,11.51,2.43,14.06,1.94,0.86,2.48,12.22
BNA,2012,69369,69234,0.8155,0.791,0.805,11.02,11.28,2.24,12.32,1.68,0.97,2.13,11.09
BNA,2013,71623,71103,0.7639,0.7292,0.7599,13.91,12.07,2.96,15.84,1.61,1.19,2.76,13.85
BNA,2014,70497,70414,0.7404,0.7064,0.7364,15.44,12.15,2.71,17.31,1.85,1.21,3.01,15.4
BOS,2004,188413,184869,0.8095,0.7234,0.7755,11.35,18.2,6.25,16.15,3.96,1.91,4.45,12.95
BOS,2005,190420,185755,0.7728,0.6902,0.7267,14,18.04,5.91,18.53,4.48,2.25,5.19,16.65
BOS,2006,187003,182418,0.7739,0.694,0.7175,14.18,18.25,5.9,18.61,4.43,1.82,5.14,17.55
BOS,2007,183078,179565,0.7553,0.6567,0.7024,15.82,19.3,6.8,21.48,4.55,2.23,5.01,18.48
BOS,2008,170491,166566,0.7897,0.7075,0.7311,14.03,18.91,5.84,18.72,4.79,1.75,4.79,17.44
BOS,2009,162271,160775,0.8209,0.7492,0.7649,11.52,18.32,5.39,15.59,4.22,1.64,4.22,14.92
BOS,2010,164933,162520,0.8095,0.727,0.7612,11.7,18.39,5.47,15.99,4.32,1.49,4.24,14.6
BOS,2011,168358,164961,0.7878,0.7065,0.7378,13.38,18.15,5.2,17.57,4.26,2.02,4.24,16.17
BOS,2012,161639,158227,0.8204,0.7563,0.795,11.56,17.15,4.23,14.82,3.53,1.86,3,11.98
BOS,2013,167549,164108,0.7987,0.7174,0.7682,12.81,18.19,5.29,17.08,3.2,1.87,3.46,13.77
BOS,2014,170013,165166,0.8067,0.7295,0.7696,11.73,18.19,5,15.68,3.23,1.62,3.23,13.8
BUF,2004,12215,12188,0.7764,0.7403,0.7173,12.94,12.41,3.16,15,2.29,0.85,2.85,15.89
BUF,2005,46558,46582,0.7535,0.716,0.7104,14.94,12.46,3.32,17.14,2.08,1.21,3.14,16.67
BUF,2006,45322,45345,0.7477,0.712,0.7095,15.26,12.62,3.17,17.51,2.46,1.16,3.59,16.63
BUF,2007,44568,44509,0.729,0.6837,0.6785,17.39,13.03,3.25,20.01,3.41,0.83,4.07,19.13
BUF,2008,43245,42984,0.7606,0.7239,0.7287,16.06,12.88,3.02,18.18,3.56,0.93,3.82,16.65
BUF,2009,40467,40256,0.7901,0.7502,0.761,13.9,12.88,3.02,16.17,3.33,1,3.07,13.92
BUF,2010,39546,39398,0.7826,0.7362,0.7534,13.93,12.95,3.1,16.25,3.08,1.03,2.83,14.56
BUF,2011,39067,38890,0.7663,0.7338,0.7574,15.14,12.08,2.38,16.74,2.66,0.78,2.76,14.96
BUF,2012,38909,38714,0.7857,0.7638,0.7744,13.48,11.54,1.88,14.63,2.37,0.9,2.28,13.34
BUF,2013,38706,38393,0.7736,0.7248,0.7437,14.56,12.71,3.22,16.95,2.33,1.15,2.76,15.31
BUF,2014,34314,34112,0.7584,0.7237,0.7376,15.53,12.17,2.42,17.26,2.33,0.7,2.5,15.96
BUR,2004,38148,37293,0.7792,0.7637,0.7703,11.33,10.28,2.12,12.78,2.55,0.58,2.33,11.73
BUR,2005,40769,40424,0.7733,0.7435,0.747,11.33,10.93,2.73,13.47,2.66,0.89,2.89,12.56
BUR,2006,42697,42915,0.7762,0.7414,0.7631,11.4,11.56,2.74,13.5,2.57,0.58,2.63,11.79
BUR,2007,43833,43406,0.7804,0.7448,0.7707,11.79,11.89,2.74,13.86,2.8,0.69,2.52,11.99
BUR,2008,40341,40135,0.7948,0.772,0.7942,10.78,11.6,2.24,12.24,2.29,0.71,2.16,10.9
BUR,2009,34863,34744,0.8419,0.8302,0.8305,8.3,10.9,1.72,9.19,2.4,0.57,1.73,8.61
BUR,2010,34610,34039,0.8092,0.7926,0.8027,9.99,10.76,1.89,11.16,2.02,0.66,1.74,9.96
BUR,2011,32875,32495,0.8194,0.7992,0.7949,9.6,10.95,2.07,10.81,2.07,0.59,2.06,10.38
BUR,2012,32152,31902,0.8369,0.8173,0.8249,8.88,10.94,2.09,10.16,1.81,0.59,1.56,8.8
BUR,2013,31469,31215,0.8072,0.7889,0.8009,10.2,10.77,1.87,11.44,1.73,0.51,1.62,10.14
BUR,2014,30148,29885,0.7821,0.7613,0.7657,11.3,10.86,1.95,12.58,2.05,0.52,1.84,12.19
BWI,2004,131690,131476,0.781,0.7491,0.7853,11.53,12.09,3.14,14.07,4.65,1.06,2.99,12.14
BWI,2005,132011,131803,0.7682,0.7354,0.7787,12.58,12.05,3.39,15.28,4.33,1.11,2.76,12.66
BWI,2006,131521,131308,0.7608,0.7255,0.7703,13.35,11.98,3.17,15.8,4.14,0.92,2.69,13.13
BWI,2007,130735,130812,0.748,0.702,0.7493,14.67,12.5,3.59,17.67,3.83,1.41,3.21,14.58
BWI,2008,123340,123587,0.7833,0.7467,0.7824,13.24,12,2.97,15.53,3.37,1.22,2.88,13.23
BWI,2009,121056,120992,0.7886,0.7335,0.8134,12.09,12.82,3.82,15.24,3.06,1.43,2.69,10.74
BWI,2010,124683,124272,0.7613,0.7112,0.7952,13.1,12.52,3.39,15.8,3.1,1.66,2.83,11.51
BWI,2011,127281,126806,0.773,0.7239,0.8038,13.55,12.53,3.35,16.31,2.75,1.54,2.77,11.92
BWI,2012,124035,123690,0.7756,0.7216,0.8055,13.02,12.65,3.46,15.78,2.55,1.69,2.83,11.56
BWI,2013,118012,117135,0.7305,0.6674,0.7756,15.23,13.1,3.92,18.53,2.28,2.05,2.84,12.83
BWI,2014,110589,110243,0.7159,0.6517,0.7672,16.1,13.34,3.97,19.4,3.27,1.74,2.75,13.73
CLE,2004,122511,121774,0.8433,0.7643,0.7949,9.31,17.06,6.18,13.63,3.76,1.59,4.56,11.9
CLE,2005,122375,121467,0.8304,0.7623,0.7798,10.15,16.84,5.44,13.91,3.36,1.91,4.38,12.72
CLE,2006,117753,116801,0.8323,0.7866,0.7861,10.34,15.81,4.09,13.05,3.12,1.14,3.95,12.86
CLE,2007,114795,114523,0.7907,0.7195,0.7518,12.89,16.07,4.76,16.64,3.7,1.8,4.41,14.93
CLE,2008,111315,111455,0.8072,0.7576,0.7842,12.53,14.71,3.53,15.18,3.48,1.19,3.46,13.47
CLE,2009,95317,95461,0.8599,0.8295,0.8456,8.97,13.06,2.52,10.66,3.04,0.87,2.42,9.39
CLE,2010,91769,91615,0.8416,0.7968,0.8151,9.88,12.98,2.98,12.09,2.98,1.25,3.2,11.06
CLE,2011,89033,89039,0.8135,0.778,0.7923,12.06,12.54,2.74,14,3.05,1.21,3.17,12.89
CLE,2012,85359,85279,0.8093,0.7809,0.8019,12.41,12.24,2.3,13.93,2.72,1.18,2.19,12.49
CLE,2013,85240,84805,0.7837,0.7384,0.7667,14.34,12.94,3.04,16.64,2.7,1.19,2.65,15.02
CLE,2014,60369,60247,0.7761,0.7203,0.7512,15.1,13.37,3.36,17.84,2.47,1.14,2.78,16.3
CLT,2004,211833,210977,0.7748,0.7225,0.8178,11.85,15.08,3.6,14.4,5.66,0.7,2.82,9.67
CLT,2005,241565,240918,0.7481,0.6569,0.7899,13.3,15.87,5.08,17.36,5.95,1.78,3.28,11.4
CLT,2006,234974,234521,0.7799,0.6602,0.7785,12.07,17.3,6.28,17.31,5.89,2.15,4.06,12.22
CLT,2007,241960,241616,0.7296,0.5971,0.7395,14.59,17.95,6.61,20.42,4.93,2.54,4.46,14.04
CLT,2008,248162,248224,0.7861,0.6276,0.7835,12.19,18.92,7.78,19.12,3.86,1.93,4.15,11.93
CLT,2009,238676,238622,0.8175,0.68,0.8058,10.31,18.47,7.03,16.31,2.98,1.55,3.8,10.53
CLT,2010,248474,248301,0.8324,0.739,0.8324,9.88,17.16,5.44,14.38,2.64,2.66,3.17,9.66
CLT,2011,254209,253986,0.7902,0.6927,0.7926,12.33,17.85,5.52,16.84,2.39,3.44,3.58,11.82
CLT,2012,260789,260134,0.8348,0.7641,0.8453,9.39,16.9,4.44,12.73,2.58,2.99,2.68,8.71
CLT,2013,263287,262066,0.805,0.7169,0.8076,11.37,17.79,5.18,15.41,3.36,2.86,3.6,11.02
CLT,2014,257713,257585,0.7841,0.7102,0.8166,12.23,16.75,4.19,15.69,3.09,3.11,2.93,10.55
CVG,2004,252037,251102,0.8091,0.7481,0.8077,10.71,15.74,3.98,14.13,5.43,0.71,3.13,10.98
CVG,2005,242191,241472,0.8382,0.7663,0.8276,8.84,15.77,4.64,12.78,4.54,1.52,2.8,9.86
CVG,2006,168752,168780,0.844,0.7892,0.8319,8.55,14.61,3.65,11.45,4.32,1.09,2.88,9.77
CVG,2007,159430,159414,0.7968,0.7165,0.7908,11.75,15.69,4.9,16.04,3.94,1.41,3.31,12.69
CVG,2008,138516,138424,0.8117,0.7372,0.8107,11.15,16.36,4.72,15.23,3.71,1.43,3.06,11.79
CVG,2009,107128,107179,0.8287,0.7778,0.8433,10.01,15.68,3.66,13.02,3.45,1.92,2.4,9.51
CVG,2010,83433,83424,0.8015,0.7496,0.8054,11.85,15.57,3.57,14.74,2.36,2.48,2.76,11.65
CVG,2011,75511,75374,0.8014,0.7752,0.8142,12.39,13.84,1.93,13.75,1.55,1.37,2.12,10.95
CVG,2012,66723,66503,0.8139,0.7951,0.8321,11.65,13.34,1.71,12.68,1.51,1.02,1.76,10.05
CVG,2013,63176,63114,0.7831,0.7423,0.804,13.96,14.7,3.3,16.31,1.89,0.77,2.54,12.61
CVG,2014,61186,61428,0.7589,0.7332,0.7822,14.96,13.28,2.08,16.33,1.59,1.41,2.7,13.26
DAL,2004,58591,57844,0.705,0.6938,0.7463,13.87,8.15,1.86,15.42,4.72,0.65,2.32,13.12
DAL,2005,53226,53340,0.7268,0.7118,0.7686,12.73,8.57,1.95,14.46,4.89,0.75,2.14,11.96
DAL,2006,60231,60432,0.7372,0.7152,0.7612,13.3,9.27,2.12,15.09,4.44,0.76,2.1,12.87
DAL,2007,65714,65822,0.705,0.6708,0.7264,16.04,9.89,2.52,18.22,4.7,0.88,2.75,15.36
DAL,2008,63362,63315,0.7219,0.6868,0.7486,14.79,9.73,2.33,16.9,3.61,0.86,2.35,13.96
DAL,2009,55238,55165,0.7464,0.7203,0.7948,13.49,9.47,2.09,15.15,3.65,0.65,1.75,11.08
DAL,2010,53342,53200,0.6971,0.67,0.7557,15.57,9.61,2.21,17.22,3.45,0.91,1.75,13.04
DAL,2011,54947,54757,0.7169,0.6965,0.7637,14.78,9.28,1.78,15.98,2.74,0.94,1.8,13.33
DAL,2012,55964,55754,0.7543,0.7373,0.7899,12.62,9.21,1.77,13.71,2.56,0.88,1.71,11.5
DAL,2013,57314,56767,0.6899,0.6547,0.7289,14.96,10.1,2.51,16.83,2.31,1.6,2.34,14.26
DAL,2014,59618,59515,0.6465,0.611,0.7078,18.04,10.31,2.28,20.04,2.52,1.36,2.47,16.19
DAY,2004,41845,41844,0.7263,0.6853,0.7494,14.95,13.53,3.79,17.18,1.61,0.58,2.59,14.27
DAY,2005,39119,38814,0.7608,0.7145,0.7529,13.27,12.83,3.66,15.58,1.52,0.96,2.64,14.24
DAY,2006,31367,31203,0.7851,0.7528,0.751,12.91,12.61,2.72,14.58,1.61,0.56,2.81,14.39
DAY,2007,29440,29659,0.794,0.7589,0.7326,13.17,12.55,2.81,14.97,2.23,1.03,3.02,16.03
DAY,2008,28610,28723,0.8115,0.7562,0.7574,12.64,13.06,3.66,15.41,2.52,0.99,3.08,14.42
DAY,2009,25257,25284,0.8304,0.7793,0.7846,11.02,12.81,3.16,13.47,1.95,0.97,2.8,12.49
DAY,2010,24635,24681,0.8428,0.7836,0.7888,10.34,13.47,3.56,13.12,1.66,0.66,2.92,12.57
DAY,2011,23861,23868,0.8266,0.7919,0.7664,11.48,12.96,2.57,13.27,1.49,0.76,3.05,14.13
DAY,2012,23185,23150,0.8314,0.8033,0.776,10.95,12.61,2.22,12.36,1.41,1.04,2.44,12.97
DAY,2013,22095,22366,0.7947,0.7419,0.7479,13.32,13.46,3.27,15.85,1.37,1.07,2.86,15.1
DAY,2014,20533,20524,0.7732,0.7349,0.7199,14.44,12.77,2.5,16.44,1.69,0.84,3.1,16.72
DCA,2004,134223,134342,0.8238,0.7812,0.8254,10.11,14,3.97,12.8,4.07,1.06,3.09,10.02
DCA,2005,138576,138447,0.8128,0.7483,0.812,11.48,14.62,5.13,15.24,4.32,1.74,3.43,11.12
DCA,2006,137261,137325,0.8014,0.7245,0.7912,11.95,15.49,5.4,16.15,3.73,1.53,3.86,12.32
DCA,2007,135433,135603,0.7665,0.6801,0.7575,14.71,16.21,5.75,19.45,2.87,1.76,4.05,14.57
DCA,2008,135908,136051,0.8213,0.7474,0.8126,11.67,15.81,4.98,15.69,4.22,1.29,3.12,11.25
DCA,2009,133298,133540,0.8398,0.7676,0.8315,10.56,15.83,4.95,14.43,3.6,1.23,2.96,10.12
DCA,2010,133228,133440,0.8385,0.7749,0.8347,10.64,15.67,4.36,13.92,3.67,1.44,2.84,10.09
DCA,2011,138494,138864,0.7982,0.7353,0.8045,13.12,16.11,4.3,16.51,4.13,1.28,3.09,12.11
DCA,2012,140272,140686,0.8058,0.7397,0.8295,12.2,15.67,3.86,15.28,3.45,1.07,2.55,10.64
DCA,2013,142830,142923,0.7975,0.7158,0.8199,13.01,16.51,4.67,17,3.39,1.19,2.63,11.38
DCA,2014,139074,139259,0.7807,0.6936,0.8132,13.55,16.59,4.58,17.56,3.35,1.45,2.63,11.39
DEN,2004,278131,273449,0.8134,0.7687,0.8259,10.26,13.91,3.26,12.59,3.73,1.33,3.43,9.74
DEN,2005,279946,275578,0.804,0.7617,0.8216,11.25,13.91,3.29,13.7,3.93,1.98,3.29,10.27
DEN,2006,297895,294284,0.784,0.732,0.7907,12.8,14.51,3.92,15.81,3.64,2.15,4.07,12.04
DEN,2007,306308,305681,0.7614,0.6819,0.7544,14.11,15.94,5.46,18.54,4.48,2.44,4.64,14.34
DEN,2008,309021,308882,0.7753,0.7023,0.7658,12.84,15.65,4.6,16.56,4.79,2.22,4.3,13.29
DEN,2009,302078,301936,0.7815,0.7174,0.7976,12.54,15.54,4.43,16.1,4.87,2.05,3.91,11.54
DEN,2010,313514,313279,0.7968,0.7447,0.8219,11.42,14.34,3.47,14.14,4.23,2.06,2.99,10.58
DEN,2011,313976,313459,0.7833,0.7313,0.8149,12.48,14.01,3.71,15.43,3.73,2.02,3.07,10.84
DEN,2012,304100,304910,0.7748,0.7232,0.8112,12.86,13.55,3.32,15.48,2.9,2.06,2.68,10.88
DEN,2013,287348,288563,0.72,0.6542,0.7532,16.43,14.76,4.34,20.01,2.3,2.45,3.87,14.92
DEN,2014,281772,282305,0.7168,0.6482,0.7582,16.64,15,4.36,20.28,2.86,1.98,3.84,15.16
DFW,2004,396314,394112,0.8051,0.7152,0.818,11.21,18.02,6.61,16.46,2.42,4.63,4.34,11.37
DFW,2005,350842,349641,0.7909,0.7238,0.8128,11.63,17.01,5.27,15.75,2.49,5.03,3.98,11.23
DFW,2006,343597,342755,0.7606,0.6959,0.7891,13.47,16.77,5.2,17.5,2.02,4.1,3.84,12.71
DFW,2007,337258,336365,0.7186,0.6556,0.7341,17.25,16.84,5.18,21.59,2.57,4.44,4.98,17.23
DFW,2008,322443,321755,0.7479,0.693,0.7702,14.25,15.86,4.4,17.77,2.49,4.33,4.32,14.05
DFW,2009,314983,314726,0.7542,0.7045,0.7958,14.64,15.43,4.04,17.79,2.72,3.68,3.73,13.06
DFW,2010,321172,320558,0.7897,0.7456,0.8251,12.31,14.82,3.61,15.04,2.17,3.67,2.91,10.95
DFW,2011,318711,317906,0.7924,0.7541,0.8304,12.2,14.35,3.26,14.56,1.9,3.32,2.86,11.05
DFW,2012,319889,319208,0.7913,0.7512,0.8234,12.3,14.46,3.38,14.7,2,3.64,2.97,11.6
DFW,2013,333290,331439,0.7457,0.6982,0.7884,15.05,14.67,3.57,17.85,2.21,4.21,3.55,13.99
DFW,2014,334660,334397,0.7504,0.699,0.766,14.82,15.01,3.96,17.94,2.62,4.95,4.44,15.98
DTW,2004,252361,250939,0.8091,0.7363,0.8271,10.76,17.39,5,14.41,4.83,2.06,3.54,9.78
DTW,2005,253845,252143,0.7487,0.6651,0.7947,14.04,17.9,5.39,18.32,4.72,2.36,3.28,12.24
DTW,2006,232361,231634,0.7755,0.6902,0.789,12.29,17.89,5.2,16.43,5.16,2.29,3.94,12.27
DTW,2007,228892,226666,0.7778,0.6483,0.7485,12.88,20.08,7.04,19.11,4.88,3.73,5,15.31
DTW,2008,226840,225224,0.7995,0.7105,0.8029,11.99,19.78,5.65,16.63,4.27,2.88,3.51,12.53
DTW,2009,211239,210518,0.8311,0.7286,0.8224,9.85,20.08,6.06,14.68,4.24,2.55,3.27,10.62
DTW,2010,221903,220623,0.7825,0.6769,0.788,12.93,20.03,6.09,17.98,4.72,2.89,3.48,12.77
DTW,2011,216449,216041,0.792,0.7427,0.8157,12.56,17.55,3.25,14.95,4.74,0.92,2.15,11.07
DTW,2012,208723,208264,0.8052,0.7585,0.843,12.2,17.33,3.16,14.47,3.96,0.85,1.74,9.8
DTW,2013,207053,206364,0.819,0.7171,0.824,11.94,19.89,6.08,16.78,4.23,1.32,2.61,11.85
DTW,2014,192007,192080,0.8045,0.7477,0.8217,12.54,17.47,3.72,15.45,4.12,0.89,2.27,11.64
EWR,2004,212226,209575,0.7921,0.5698,0.7147,12.87,25.93,12.73,23.59,5.93,2.21,6.04,18.54
EWR,2005,211790,209551,0.7421,0.5255,0.6528,16.02,25.96,12.31,26.62,6.22,2.63,7.52,23.18
EWR,2006,214805,213118,0.7189,0.4525,0.6383,18.07,29.13,15.42,31.8,6.21,2.65,7.25,24.79
EWR,2007,209019,207435,0.6903,0.4335,0.618,21.24,28.74,15.22,35.34,5.49,2.8,6.89,27.78
EWR,2008,207145,206270,0.7034,0.4371,0.6404,20.24,28.98,15.63,34.57,4.83,3.18,5.64,26.55
EWR,2009,196298,195150,0.7408,0.4957,0.6701,17.99,25.74,13.09,29.7,4.66,2.15,5.12,24.88
EWR,2010,192614,191370,0.754,0.61,0.7203,16.22,20.94,8.1,23.19,4.11,1.96,4.1,19.37
EWR,2011,192879,191645,0.7318,0.5873,0.669,17.77,20.99,8.49,25.08,4.85,2.54,5.14,22.32
EWR,2012,196105,195110,0.7217,0.5716,0.7009,18.06,21.33,8.71,25.66,3.9,2.86,3.61,19.91
EWR,2013,196365,194358,0.7264,0.5815,0.7095,18.13,20.91,8.41,25.53,3.54,2.51,3.46,20.23
EWR,2014,189545,188206,0.7211,0.573,0.7153,17.96,20.68,8.37,25.46,3.86,2.72,3.15,19.63
