PassengerId,Pclass,Ticket,Fare,Cabin,Embarked
167,1,113505,55.0,E33,S
168,3,347088,27.9,?,S
169,1,PC 17318,25.925,?,S
170,3,1601,56.4958,?,S
171,1,111240,33.5,B19,S
172,3,382652,29.125,?,Q
173,3,347742,11.1333,?,S
174,3,STON/O 2. 3101280,7.925,?,S
175,1,17764,30.6958,A7,C
176,3,350404,7.8542,?,S
177,3,4133,25.4667,?,S
178,1,PC 17595,28.7125,C49,C
179,2,250653,13.0,?,S
180,3,LINE,0.0,?,S
181,3,CA. 2343,69.55,?,S
182,2,SC/PARIS 2131,15.05,?,C
183,3,347077,31.3875,?,S
184,2,230136,39.0,F4,S
185,3,315153,22.025,?,S
186,1,113767,50.0,A32,S
187,3,370365,15.5,?,Q
188,1,111428,26.55,?,S
189,3,364849,15.5,?,Q
190,3,349247,7.8958,?,S
191,2,234604,13.0,?,S
192,2,28424,13.0,?,S
193,3,350046,7.8542,?,S
194,2,230080,26.0,F2,S
195,1,PC 17610,27.7208,B4,C
196,1,PC 17569,146.5208,B80,C
197,3,368703,7.75,?,Q
198,3,4579,8.4042,?,S
199,3,370370,7.75,?,Q
200,2,248747,13.0,?,S
201,3,345770,9.5,?,S
202,3,CA. 2343,69.55,?,S
203,3,3101264,6.4958,?,S
204,3,2628,7.225,?,C
205,3,A/5 3540,8.05,?,S
206,3,347054,10.4625,G6,S
207,3,3101278,15.85,?,S
208,3,2699,18.7875,?,C
209,3,367231,7.75,?,Q
210,1,112277,31.0,A31,C
211,3,SOTON/O.Q. 3101311,7.05,?,S
212,2,F.C.C. 13528,21.0,?,S
213,3,A/5 21174,7.25,?,S
214,2,250646,13.0,?,S
215,3,367229,7.75,?,Q
216,1,35273,113.275,D36,C
217,3,STON/O2. 3101283,7.925,?,S
218,2,243847,27.0,?,S
219,1,11813,76.2917,D15,C
220,2,W/C 14208,10.5,?,S
221,3,SOTON/OQ 392089,8.05,?,S
222,2,220367,13.0,?,S
223,3,21440,8.05,?,S
224,3,349234,7.8958,?,S
225,1,19943,90.0,C93,S
226,3,PP 4348,9.35,?,S
227,2,SW/PP 751,10.5,?,S
228,3,A/5 21173,7.25,?,S
229,2,236171,13.0,?,S
230,3,4133,25.4667,?,S
231,1,36973,83.475,C83,S
232,3,347067,7.775,?,S
233,2,237442,13.5,?,S
234,3,347077,31.3875,?,S
235,2,C.A. 29566,10.5,?,S
236,3,W./C. 6609,7.55,?,S
237,2,26707,26.0,?,S
238,2,C.A. 31921,26.25,?,S
239,2,28665,10.5,?,S
240,2,SCO/W 1585,12.275,?,S
241,3,2665,14.4542,?,C
242,3,367230,15.5,?,Q
243,2,W./C. 14263,10.5,?,S
244,3,STON/O 2. 3101275,7.125,?,S
245,3,2694,7.225,?,C
246,1,19928,90.0,C78,Q
247,3,347071,7.775,?,S
248,2,250649,14.5,?,S
249,1,11751,52.5542,D35,S
250,2,244252,26.0,?,S
251,3,362316,7.25,?,S
252,3,347054,10.4625,G6,S
253,1,113514,26.55,C87,S
254,3,A/5. 3336,16.1,?,S
255,3,370129,20.2125,?,S
256,3,2650,15.2458,?,C
257,1,PC 17585,79.2,?,C
258,1,110152,86.5,B77,S
259,1,PC 17755,512.3292,?,C
260,2,230433,26.0,?,S
261,3,384461,7.75,?,Q
262,3,347077,31.3875,?,S
263,1,110413,79.65,E67,S
264,1,112059,0.0,B94,S
265,3,382649,7.75,?,Q
266,2,C.A. 17248,10.5,?,S
267,3,3101295,39.6875,?,S
268,3,347083,7.775,?,S
269,1,PC 17582,153.4625,C125,S
270,1,PC 17760,135.6333,C99,S
271,1,113798,31.0,?,S
272,3,LINE,0.0,?,S
273,2,250644,19.5,?,S
274,1,PC 17596,29.7,C118,C
275,3,370375,7.75,?,Q
276,1,13502,77.9583,D7,S
277,3,347073,7.75,?,S
278,2,239853,0.0,?,S
279,3,382652,29.125,?,Q
280,3,C.A. 2673,20.25,?,S
281,3,336439,7.75,?,Q
282,3,347464,7.8542,?,S
283,3,345778,9.5,?,S
284,3,A/5. 10482,8.05,?,S
285,1,113056,26.0,A19,S
286,3,349239,8.6625,?,C
287,3,345774,9.5,?,S
288,3,349206,7.8958,?,S
289,2,237798,13.0,?,S
290,3,370373,7.75,?,Q
291,1,19877,78.85,?,S
292,1,11967,91.0792,B49,C
293,2,SC/Paris 2163,12.875,D,C
294,3,349236,8.85,?,S
295,3,349233,7.8958,?,S
296,1,PC 17612,27.7208,?,C
297,3,2693,7.2292,?,C
298,1,113781,151.55,C22 C26,S
299,1,19988,30.5,C106,S
300,1,PC 17558,247.5208,B58 B60,C
301,3,9234,7.75,?,Q
302,3,367226,23.25,?,Q
303,3,LINE,0.0,?,S
304,2,226593,12.35,E101,Q
305,3,A/5 2466,8.05,?,S
306,1,113781,151.55,C22 C26,S
307,1,17421,110.8833,?,C
308,1,PC 17758,108.9,C65,C
309,2,P/PP 3381,24.0,?,C
310,1,PC 17485,56.9292,E36,C
311,1,11767,83.1583,C54,C
312,1,PC 17608,262.375,B57 B59 B63 B66,C
313,2,250651,26.0,?,S
314,3,349243,7.8958,?,S
315,2,F.C.C. 13529,26.25,?,S
316,3,347470,7.8542,?,S
317,2,244367,26.0,?,S
318,2,29011,14.0,?,S
319,1,36928,164.8667,C7,S
320,1,16966,134.5,E34,C
321,3,A/5 21172,7.25,?,S
322,3,349219,7.8958,?,S
323,2,234818,12.35,?,Q
324,2,248738,29.0,?,S
325,3,CA. 2343,69.55,?,S
326,1,PC 17760,135.6333,C32,C
327,3,345364,6.2375,?,S
328,2,28551,13.0,D,S
329,3,363291,20.525,?,S
330,1,111361,57.9792,B18,C
331,3,367226,23.25,?,Q
332,1,113043,28.5,C124,S
333,1,PC 17582,153.4625,C91,S
334,3,345764,18.0,?,S
335,1,PC 17611,133.65,?,S
336,3,349225,7.8958,?,S
337,1,113776,66.6,C2,S
338,1,16966,134.5,E40,C
339,3,7598,8.05,?,S
340,1,113784,35.5,T,S
341,2,230080,26.0,F2,S
342,1,19950,263.0,C23 C25 C27,S
343,2,248740,13.0,?,S
344,2,244361,13.0,?,S
345,2,229236,13.0,?,S
346,2,248733,13.0,F33,S
347,2,31418,13.0,?,S
348,3,386525,16.1,?,S
349,3,C.A. 37671,15.9,?,S
350,3,315088,8.6625,?,S
351,3,7267,9.225,?,S
352,1,113510,35.0,C128,S
353,3,2695,7.2292,?,C
354,3,349237,17.8,?,S
355,3,2647,7.225,?,C
356,3,345783,9.5,?,S
357,1,113505,55.0,E33,S
358,2,237671,13.0,?,S
359,3,330931,7.8792,?,Q
360,3,330980,7.8792,?,Q
361,3,347088,27.9,?,S
362,2,SC/PARIS 2167,27.7208,?,C
363,3,2691,14.4542,?,C
364,3,SOTON/O.Q. 3101310,7.05,?,S
365,3,370365,15.5,?,Q
366,3,C 7076,7.25,?,S
367,1,110813,75.25,D37,C
368,3,2626,7.2292,?,C
369,3,14313,7.75,?,Q
370,1,PC 17477,69.3,B35,C
371,1,11765,55.4417,E50,C
372,3,3101267,6.4958,?,S
373,3,323951,8.05,?,S
374,1,PC 17760,135.6333,?,C
375,3,349909,21.075,?,S
376,1,PC 17604,82.1708,?,C
377,3,C 7077,7.25,?,S
378,1,113503,211.5,C82,C
379,3,2648,4.0125,?,C
380,3,347069,7.775,?,S
381,1,PC 17757,227.525,?,C
382,3,2653,15.7417,?,C
383,3,STON/O 2. 3101293,7.925,?,S
384,1,113789,52.0,?,S
385,3,349227,7.8958,?,S
386,2,S.O.C. 14879,73.5,?,S
387,3,CA 2144,46.9,?,S
388,2,27849,13.0,?,S
389,3,367655,7.7292,?,Q
390,2,SC 1748,12.0,?,C
391,1,113760,120.0,B96 B98,S
392,3,350034,7.7958,?,S
393,3,3101277,7.925,?,S
394,1,35273,113.275,D36,C
395,3,PP 9549,16.7,G6,S
396,3,350052,7.7958,?,S
397,3,350407,7.8542,?,S
398,2,28403,26.0,?,S
399,2,244278,10.5,?,S
400,2,240929,12.65,?,S
401,3,STON/O 2. 3101289,7.925,?,S
402,3,341826,8.05,?,S
403,3,4137,9.825,?,S
404,3,STON/O2. 3101279,15.85,?,S
405,3,315096,8.6625,?,S
406,2,28664,21.0,?,S
407,3,347064,7.75,?,S
408,2,29106,18.75,?,S
409,3,312992,7.775,?,S
410,3,4133,25.4667,?,S
411,3,349222,7.8958,?,S
412,3,394140,6.8583,?,Q
413,1,19928,90.0,C78,Q
414,2,239853,0.0,?,S
415,3,STON/O 2. 3101269,7.925,?,S
416,3,343095,8.05,?,S
417,2,28220,32.5,?,S
418,2,250652,13.0,?,S
419,2,28228,13.0,?,S
420,3,345773,24.15,?,S
421,3,349254,7.8958,?,C
422,3,A/5. 13032,7.7333,?,Q
423,3,315082,7.875,?,S
424,3,347080,14.4,?,S
425,3,370129,20.2125,?,S
426,3,A/4. 34244,7.25,?,S
427,2,2003,26.0,?,S
428,2,250655,26.0,?,S
429,3,364851,7.75,?,Q
430,3,SOTON/O.Q. 392078,8.05,E10,S
431,1,110564,26.55,C52,S
432,3,376564,16.1,?,S
433,2,SC/AH 3085,26.0,?,S
434,3,STON/O 2. 3101274,7.125,?,S
435,1,13507,55.9,E44,S
436,1,113760,120.0,B96 B98,S
437,3,W./C. 6608,34.375,?,S
438,2,29106,18.75,?,S
439,1,19950,263.0,C23 C25 C27,S
440,2,C.A. 18723,10.5,?,S
441,2,F.C.C. 13529,26.25,?,S
442,3,345769,9.5,?,S
443,3,347076,7.775,?,S
444,2,230434,13.0,?,S
445,3,65306,8.1125,?,S
446,1,33638,81.8583,A34,S
447,2,250644,19.5,?,S
448,1,113794,26.55,?,S
449,3,2666,19.2583,?,C
450,1,113786,30.5,C104,S
451,2,C.A. 34651,27.75,?,S
452,3,65303,19.9667,?,S
453,1,113051,27.75,C111,C
454,1,17453,89.1042,C92,C
455,3,A/5 2817,8.05,?,S
456,3,349240,7.8958,?,C
457,1,13509,26.55,E38,S
458,1,17464,51.8625,D21,S
459,2,F.C.C. 13531,10.5,?,S
460,3,371060,7.75,?,Q
461,1,19952,26.55,E12,S
462,3,364506,8.05,?,S
463,1,111320,38.5,E63,S
464,2,234360,13.0,?,S
465,3,A/S 2816,8.05,?,S
466,3,SOTON/O.Q. 3101306,7.05,?,S
467,2,239853,0.0,?,S
468,1,113792,26.55,?,S
469,3,36209,7.725,?,Q
470,3,2666,19.2583,?,C
471,3,323592,7.25,?,S
472,3,315089,8.6625,?,S
473,2,C.A. 34651,27.75,?,S
474,2,SC/AH Basle 541,13.7917,D,C
475,3,7553,9.8375,?,S
476,1,110465,52.0,A14,S
477,2,31027,21.0,?,S
478,3,3460,7.0458,?,S
479,3,350060,7.5208,?,S
480,3,3101298,12.2875,?,S
481,3,CA 2144,46.9,?,S
482,2,239854,0.0,?,S
483,3,A/5 3594,8.05,?,S
484,3,4134,9.5875,?,S
485,1,11967,91.0792,B49,C
486,3,4133,25.4667,?,S
487,1,19943,90.0,C93,S
488,1,11771,29.7,B37,C
489,3,A.5. 18509,8.05,?,S
490,3,C.A. 37671,15.9,?,S
491,3,65304,19.9667,?,S
492,3,SOTON/OQ 3101317,7.25,?,S
493,1,113787,30.5,C30,S
494,1,PC 17609,49.5042,?,C
495,3,A/4 45380,8.05,?,S
496,3,2627,14.4583,?,C
497,1,36947,78.2667,D20,C
498,3,C.A. 6212,15.1,?,S
499,1,113781,151.55,C22 C26,S
500,3,350035,7.7958,?,S
501,3,315086,8.6625,?,S
502,3,364846,7.75,?,Q
503,3,330909,7.6292,?,Q
504,3,4135,9.5875,?,S
505,1,110152,86.5,B79,S
506,1,PC 17758,108.9,C65,C
507,2,26360,26.0,?,S
508,1,111427,26.55,?,S
509,3,C 4001,22.525,?,S
510,3,1601,56.4958,?,S
511,3,382651,7.75,?,Q
512,3,SOTON/OQ 3101316,8.05,?,S
513,1,PC 17473,26.2875,E25,S
514,1,PC 17603,59.4,?,C
515,3,349209,7.4958,?,S
516,1,36967,34.0208,D46,S
517,2,C.A. 34260,10.5,F33,S
518,3,371110,24.15,?,Q
519,2,226875,26.0,?,S
520,3,349242,7.8958,?,S
521,1,12749,93.5,B73,S
522,3,349252,7.8958,?,S
523,3,2624,7.225,?,C
524,1,111361,57.9792,B18,C
525,3,2700,7.2292,?,C
526,3,367232,7.75,?,Q
527,2,W./C. 14258,10.5,?,S
528,1,PC 17483,221.7792,C95,S
529,3,3101296,7.925,?,S
530,2,29104,11.5,?,S
531,2,26360,26.0,?,S
532,3,2641,7.2292,?,C
533,3,2690,7.2292,?,C
534,3,2668,22.3583,?,C
535,3,315084,8.6625,?,S
536,2,F.C.C. 13529,26.25,?,S
537,1,113050,26.55,B38,S
538,1,PC 17761,106.425,?,C
539,3,364498,14.5,?,S
540,1,13568,49.5,B39,C
541,1,WE/P 5735,71.0,B22,S
542,3,347082,31.275,?,S
543,3,347082,31.275,?,S
544,2,2908,26.0,?,S
545,1,PC 17761,106.425,C86,C
546,1,693,26.0,?,S
547,2,2908,26.0,?,S
548,2,SC/PARIS 2146,13.8625,?,C
549,3,363291,20.525,?,S
550,2,C.A. 33112,36.75,?,S
551,1,17421,110.8833,C70,C
552,2,244358,26.0,?,S
553,3,330979,7.8292,?,Q
554,3,2620,7.225,?,C
555,3,347085,7.775,?,S
556,1,113807,26.55,?,S
557,1,11755,39.6,A16,C
558,1,PC 17757,227.525,?,C
559,1,110413,79.65,E67,S
560,3,345572,17.4,?,S
561,3,372622,7.75,?,Q
562,3,349251,7.8958,?,S
563,2,218629,13.5,?,S
564,3,SOTON/OQ 392082,8.05,?,S
565,3,SOTON/O.Q. 392087,8.05,?,S
566,3,A/4 48871,24.15,?,S
567,3,349205,7.8958,?,S
568,3,349909,21.075,?,S
569,3,2686,7.2292,?,C
570,3,350417,7.8542,?,S
571,2,S.W./PP 752,10.5,?,S
572,1,11769,51.4792,C101,S
573,1,PC 17474,26.3875,E25,S
574,3,14312,7.75,?,Q
575,3,A/4. 20589,8.05,?,S
576,3,358585,14.5,?,S
577,2,243880,13.0,?,S
578,1,13507,55.9,E44,S
579,3,2689,14.4583,?,C
580,3,STON/O 2. 3101286,7.925,?,S
581,2,237789,30.0,?,S
582,1,17421,110.8833,C68,C
583,2,28403,26.0,?,S
584,1,13049,40.125,A10,C
585,3,3411,8.7125,?,C
586,1,110413,79.65,E68,S
587,2,237565,15.0,?,S
588,1,13567,79.2,B41,C
589,3,14973,8.05,?,S
590,3,A./5. 3235,8.05,?,S
591,3,STON/O 2. 3101273,7.125,?,S
592,1,36947,78.2667,D20,C
593,3,A/5 3902,7.25,?,S
594,3,364848,7.75,?,Q
595,2,SC/AH 29037,26.0,?,S
596,3,345773,24.15,?,S
597,2,248727,33.0,?,S
598,3,LINE,0.0,?,S
599,3,2664,7.225,?,C
600,1,PC 17485,56.9292,A20,C
601,2,243847,27.0,?,S
602,3,349214,7.8958,?,S
603,1,113796,42.4,?,S
604,3,364511,8.05,?,S
605,1,111426,26.55,?,C
606,3,349910,15.55,?,S
607,3,349246,7.8958,?,S
608,1,113804,30.5,?,S
609,2,SC/Paris 2123,41.5792,?,C
610,1,PC 17582,153.4625,C125,S
611,3,347082,31.275,?,S
612,3,SOTON/O.Q. 3101305,7.05,?,S
613,3,367230,15.5,?,Q
614,3,370377,7.75,?,Q
615,3,364512,8.05,?,S
616,2,220845,65.0,?,S
617,3,347080,14.4,?,S
618,3,A/5. 3336,16.1,?,S
619,2,230136,39.0,F4,S
620,2,31028,10.5,?,S
621,3,2659,14.4542,?,C
622,1,11753,52.5542,D19,S
623,3,2653,15.7417,?,C
624,3,350029,7.8542,?,S
625,3,54636,16.1,?,S
626,1,36963,32.3208,D50,S
627,2,219533,12.35,?,Q
628,1,13502,77.9583,D9,S
629,3,349224,7.8958,?,S
630,3,334912,7.7333,?,Q
631,1,27042,30.0,A23,S
632,3,347743,7.0542,?,S
633,1,13214,30.5,B50,C
634,1,112052,0.0,?,S
635,3,347088,27.9,?,S
636,2,237668,13.0,?,S
637,3,STON/O 2. 3101292,7.925,?,S
638,2,C.A. 31921,26.25,?,S
639,3,3101295,39.6875,?,S
640,3,376564,16.1,?,S
641,3,350050,7.8542,?,S
642,1,PC 17477,69.3,B35,C
643,3,347088,27.9,?,S
644,3,1601,56.4958,?,S
645,3,2666,19.2583,?,C
646,1,PC 17572,76.7292,D33,C
647,3,349231,7.8958,?,S
648,1,13213,35.5,A26,C
649,3,S.O./P.P. 751,7.55,?,S
650,3,CA. 2314,7.55,?,S
651,3,349221,7.8958,?,S
652,2,231919,23.0,?,S
653,3,8475,8.4333,?,S
654,3,330919,7.8292,?,Q
655,3,365226,6.75,?,Q
656,2,S.O.C. 14879,73.5,?,S
657,3,349223,7.8958,?,S
658,3,364849,15.5,?,Q
659,2,29751,13.0,?,S
660,1,35273,113.275,D48,C
661,1,PC 17611,133.65,?,S
662,3,2623,7.225,?,C
663,1,5727,25.5875,E58,S
664,3,349210,7.4958,?,S
665,3,STON/O 2. 3101285,7.925,?,S
666,2,S.O.C. 14879,73.5,?,S
667,2,234686,13.0,?,S
668,3,312993,7.775,?,S
669,3,A/5 3536,8.05,?,S
670,1,19996,52.0,C126,S
671,2,29750,39.0,?,S
672,1,F.C. 12750,52.0,B71,S
673,2,C.A. 24580,10.5,?,S
674,2,244270,13.0,?,S
675,2,239856,0.0,?,S
676,3,349912,7.775,?,S
677,3,342826,8.05,?,S
678,3,4138,9.8417,?,S
679,3,CA 2144,46.9,?,S
680,1,PC 17755,512.3292,B51 B53 B55,C
681,3,330935,8.1375,?,Q
682,1,PC 17572,76.7292,D49,C
683,3,6563,9.225,?,S
684,3,CA 2144,46.9,?,S
685,2,29750,39.0,?,S
686,2,SC/Paris 2123,41.5792,?,C
687,3,3101295,39.6875,?,S
688,3,349228,10.1708,?,S
689,3,350036,7.7958,?,S
690,1,24160,211.3375,B5,S
691,1,17474,57.0,B20,S
692,3,349256,13.4167,?,C
693,3,1601,56.4958,?,S
694,3,2672,7.225,?,C
695,1,113800,26.55,?,S
696,2,248731,13.5,?,S
697,3,363592,8.05,?,S
698,3,35852,7.7333,?,Q
699,1,17421,110.8833,C68,C
700,3,348121,7.65,F G63,S
701,1,PC 17757,227.525,C62 C64,C
702,1,PC 17475,26.2875,E24,S
703,3,2691,14.4542,?,C
704,3,36864,7.7417,?,Q
705,3,350025,7.8542,?,S
706,2,250655,26.0,?,S
707,2,223596,13.5,?,S
708,1,PC 17476,26.2875,E24,S
709,1,113781,151.55,?,S
710,3,2661,15.2458,?,C
711,1,PC 17482,49.5042,C90,C
712,1,113028,26.55,C124,S
713,1,19996,52.0,C126,S
714,3,7545,9.4833,?,S
715,2,250647,13.0,?,S
716,3,348124,7.65,F G73,S
717,1,PC 17757,227.525,C45,C
718,2,34218,10.5,E101,S
719,3,36568,15.5,?,Q
720,3,347062,7.775,?,S
721,2,248727,33.0,?,S
722,3,350048,7.0542,?,S
723,2,12233,13.0,?,S
724,2,250643,13.0,?,S
725,1,113806,53.1,E8,S
726,3,315094,8.6625,?,S
727,2,31027,21.0,?,S
728,3,36866,7.7375,?,Q
729,2,236853,26.0,?,S
730,3,STON/O2. 3101271,7.925,?,S
731,1,24160,211.3375,B5,S
732,3,2699,18.7875,?,C
733,2,239855,0.0,?,S
734,2,28425,13.0,?,S
735,2,233639,13.0,?,S
736,3,54636,16.1,?,S
737,3,W./C. 6608,34.375,?,S
738,1,PC 17755,512.3292,B101,C
739,3,349201,7.8958,?,S
740,3,349218,7.8958,?,S
741,1,16988,30.0,D45,S
742,1,19877,78.85,C46,S
743,1,PC 17608,262.375,B57 B59 B63 B66,C
744,3,376566,16.1,?,S
745,3,STON/O 2. 3101288,7.925,?,S
746,1,WE/P 5735,71.0,B22,S
747,3,C.A. 2673,20.25,?,S
748,2,250648,13.0,?,S
749,1,113773,53.1,D30,S
750,3,335097,7.75,?,Q
751,2,29103,23.0,?,S
752,3,392096,12.475,E121,S
753,3,345780,9.5,?,S
754,3,349204,7.8958,?,S
755,2,220845,65.0,?,S
756,2,250649,14.5,?,S
757,3,350042,7.7958,?,S
758,2,29108,11.5,?,S
759,3,363294,8.05,?,S
760,1,110152,86.5,B77,S
761,3,358585,14.5,?,S
762,3,SOTON/O2 3101272,7.125,?,S
763,3,2663,7.2292,?,C
764,1,113760,120.0,B96 B98,S
765,3,347074,7.775,?,S
766,1,13502,77.9583,D11,S
767,1,112379,39.6,?,C
768,3,364850,7.75,?,Q
769,3,371110,24.15,?,Q
770,3,8471,8.3625,?,S
771,3,345781,9.5,?,S
772,3,350047,7.8542,?,S
773,2,S.O./P.P. 3,10.5,E77,S
774,3,2674,7.225,?,C
775,2,29105,23.0,?,S
776,3,347078,7.75,?,S
777,3,383121,7.75,F38,Q
778,3,364516,12.475,?,S
779,3,36865,7.7375,?,Q
780,1,24160,211.3375,B3,S
781,3,2687,7.2292,?,C
782,1,17474,57.0,B20,S
783,1,113501,30.0,D6,S
784,3,W./C. 6607,23.45,?,S
785,3,SOTON/O.Q. 3101312,7.05,?,S
786,3,374887,7.25,?,S
787,3,3101265,7.4958,?,S
788,3,382652,29.125,?,Q
789,3,C.A. 2315,20.575,?,S
790,1,PC 17593,79.2,B82 B84,C
791,3,12460,7.75,?,Q
792,2,239865,26.0,?,S
793,3,CA. 2343,69.55,?,S
794,1,PC 17600,30.6958,?,C
795,3,349203,7.8958,?,S
796,2,28213,13.0,?,S
797,1,17465,25.9292,D17,S
798,3,349244,8.6833,?,S
799,3,2685,7.2292,?,C
800,3,345773,24.15,?,S
801,2,250647,13.0,?,S
802,2,C.A. 31921,26.25,?,S
803,1,113760,120.0,B96 B98,S
804,3,2625,8.5167,?,C
805,3,347089,6.975,?,S
806,3,347063,7.775,?,S
807,1,112050,0.0,A36,S
808,3,347087,7.775,?,S
809,2,248723,13.0,?,S
810,1,113806,53.1,E8,S
811,3,3474,7.8875,?,S
812,3,A/4 48871,24.15,?,S
813,2,28206,10.5,?,S
814,3,347082,31.275,?,S
815,3,364499,8.05,?,S
