weekday,date,high,low,close,volume,ticker
Friday,4/24/98,6.86864,6.68628,6.77867,6936816.99,AAPL
Monday,4/27/98,6.74707,6.50393,6.74707,14603673.72,AAPL
Tuesday,4/28/98,6.80785,6.38236,6.55012,8410054.74,AAPL
Wednesday,4/29/98,6.6717,6.50393,6.5793,6457250.26,AAPL
Thursday,4/30/98,6.71789,6.5793,6.64009,5726800.53,AAPL
Friday,5/1/98,6.86864,6.53554,6.80785,6354428.93,AAPL
Monday,5/4/98,7.17256,7.02181,7.05098,19306355.69,AAPL
Tuesday,5/5/98,7.26495,7.0826,7.21876,14322346.49,AAPL
Wednesday,5/6/98,7.4011,7.11177,7.3695,31325064.61,AAPL
Thursday,5/7/98,7.4473,7.26495,7.32573,18781961.51,AAPL
Friday,5/8/98,7.4157,7.27953,7.30871,9150374.48,AAPL
Monday,5/11/98,7.69044,7.47647,7.50809,23788597.93,AAPL
Tuesday,5/12/98,7.47647,7.27953,7.32573,9124875.19,AAPL
Wednesday,5/13/98,7.49107,7.20416,7.38652,10901646.48,AAPL
Thursday,5/14/98,7.4011,7.23334,7.30871,5567628.98,AAPL
Friday,5/15/98,7.38652,7.11177,7.18714,9338748.77,AAPL
Monday,5/18/98,7.18714,6.90024,6.92942,8268570.64,AAPL
Tuesday,5/19/98,7.15797,7.00479,7.12636,7683716.79,AAPL
Wednesday,5/20/98,7.26495,6.9902,7.18714,6660837.89,AAPL
Thursday,5/21/98,7.21876,6.96103,7.02181,4555034.77,AAPL
Friday,5/22/98,6.9902,6.64009,6.77867,9594980.32,AAPL
Tuesday,5/26/98,6.86864,6.47475,6.50393,11175562.95,AAPL
Wednesday,5/27/98,6.51852,6.23161,6.48934,12978660.13,AAPL
Thursday,5/28/98,6.77867,6.50393,6.62549,10571795.82,AAPL
Friday,5/29/98,6.70087,6.42855,6.47475,7402806.63,AAPL
Monday,6/1/98,6.71789,6.23161,6.38236,10799238.26,AAPL
Tuesday,6/2/98,6.64009,6.32158,6.50393,6253251.91,AAPL
Wednesday,6/3/98,6.62549,6.36777,6.39695,5172791.75,AAPL
Thursday,6/4/98,6.53554,6.27537,6.53554,5106161.89,AAPL
Friday,6/5/98,6.62549,6.41397,6.51852,4297154.43,AAPL
Monday,6/8/98,6.73248,6.51852,6.61091,4409849.65,AAPL
Tuesday,6/9/98,6.92942,6.6571,6.85404,9571950.08,AAPL
Wednesday,6/10/98,7.05098,6.71789,6.82244,8094593.25,AAPL
Thursday,6/11/98,6.96103,6.76165,6.76165,6212125.34,AAPL
Friday,6/12/98,7.02181,6.56471,6.82244,6993160.33,AAPL
Monday,6/15/98,6.86864,6.62549,6.71789,4572310.67,AAPL
Tuesday,6/16/98,6.83946,6.64009,6.77867,3824996.67,AAPL
Wednesday,6/17/98,6.94401,6.79327,6.82244,6757904.31,AAPL
Thursday,6/18/98,6.82244,6.61091,6.6571,4292221.51,AAPL
Friday,6/19/98,6.6717,6.50393,6.5793,4261785.7,AAPL
Monday,6/22/98,6.70087,6.50393,6.6571,4811268.21,AAPL
Tuesday,6/23/98,6.83946,6.62549,6.77867,8107343.6,AAPL
Wednesday,6/24/98,6.96103,6.64009,6.86864,9648860.14,AAPL
Thursday,6/25/98,7.00479,6.88322,6.94401,6499203.68,AAPL
Friday,6/26/98,6.96103,6.74707,6.83946,3816357.45,AAPL
Monday,6/29/98,7.00479,6.82244,6.97561,5584901.83,AAPL
Tuesday,6/30/98,7.00479,6.83946,6.9902,4400800.14,AAPL
Wednesday,7/1/98,7.29413,6.92942,7.27224,9980768.96,AAPL
Thursday,7/2/98,7.30871,7.05098,7.06558,9912498.76,AAPL
Monday,7/6/98,7.3695,7.0826,7.3695,8728805.99,AAPL
Tuesday,7/7/98,7.50809,7.29413,7.4473,8302294.73,AAPL
Wednesday,7/8/98,8.00895,7.46189,7.91656,32751829.06,AAPL
Thursday,7/9/98,8.17671,7.64425,7.71962,19862010.51,AAPL
Friday,7/10/98,7.93358,7.71962,7.7804,10046167.23,AAPL
Monday,7/13/98,8.29829,7.75122,8.2375,23744588.39,AAPL
Tuesday,7/14/98,8.26668,8.05514,8.14511,13186358.88,AAPL
Wednesday,7/15/98,8.43444,8.14511,8.38824,20841711.12,AAPL
Thursday,7/16/98,9.27084,8.69217,9.11766,86039344.84,AAPL
Friday,7/17/98,9.05687,8.79915,8.9353,21309339.41,AAPL
Monday,7/20/98,8.90612,8.63138,8.81374,13434779.81,AAPL
Tuesday,7/21/98,8.99609,8.61679,8.64597,11469226.08,AAPL
Wednesday,7/22/98,8.66299,8.32746,8.50981,9750446.3,AAPL
Thursday,7/23/98,8.66299,8.44903,8.50981,8560997.3,AAPL
Friday,7/24/98,8.63138,8.22048,8.43444,9820364.83,AAPL
Monday,7/27/98,8.48063,8.08432,8.35907,7533592.77,AAPL
Tuesday,7/28/98,8.41986,8.02354,8.14511,7902524.49,AAPL
Wednesday,7/29/98,8.72378,8.1913,8.54142,15792711.49,AAPL
Thursday,7/30/98,8.9353,8.63138,8.87452,12517192.95,AAPL
Friday,7/31/98,8.9353,8.41986,8.41986,6252427.12,AAPL
Monday,8/3/98,8.64597,8.08432,8.50981,10508044.39,AAPL
Tuesday,8/4/98,8.75295,8.26668,8.31287,10295406,AAPL
Wednesday,8/5/98,8.75295,8.14511,8.75295,15422139.22,AAPL
Thursday,8/6/98,8.9499,8.48063,8.9353,15105030.54,AAPL
Friday,8/7/98,9.08848,8.75295,8.92072,10241939.33,AAPL
Monday,8/10/98,9.23923,8.81374,9.22464,16507120.63,AAPL
Tuesday,8/11/98,9.96868,9.08848,9.48236,62700731.36,AAPL
Wednesday,8/12/98,9.95408,9.59907,9.74009,24253763.39,AAPL
Thursday,8/13/98,9.90785,9.57476,9.57476,13688958.93,AAPL
Friday,8/14/98,9.90785,9.60393,9.83248,15294637.81,AAPL
Monday,8/17/98,10.4087,9.69633,10.1972,32505872.93,AAPL
Tuesday,8/18/98,10.5473,10.2726,10.348,20880773.88,AAPL
Wednesday,8/19/98,10.6373,9.98318,9.98318,16138191.57,AAPL
Thursday,8/20/98,10.0003,9.78628,9.87867,13912699.31,AAPL
Friday,8/21/98,10.5911,9.48236,10.4549,28807566.71,AAPL
Monday,8/24/98,10.5765,9.75711,10.0149,21273559.22,AAPL
Tuesday,8/25/98,10.3042,9.80088,9.93947,17353552.03,AAPL
Wednesday,8/26/98,10.0003,9.60393,9.7717,14226107.25,AAPL
Thursday,8/27/98,9.54315,8.66299,9.14927,39099274.73,AAPL
Friday,8/28/98,9.36079,8.29829,8.31287,32572104.65,AAPL
Monday,8/31/98,8.48063,7.53726,7.58346,30464235.69,AAPL
Tuesday,9/1/98,8.6022,7.4473,8.26668,28311551.49,AAPL
Wednesday,9/2/98,9.08848,8.5706,8.64597,29877336.09,AAPL
Thursday,9/3/98,8.54142,8.26668,8.44903,14140554.77,AAPL
Friday,9/4/98,8.85993,8.20589,8.52441,13364450.67,AAPL
Tuesday,9/8/98,9.30001,8.9353,9.28542,13821393.66,AAPL
Wednesday,9/9/98,9.27084,8.99609,9.11766,12526244.47,AAPL
Thursday,9/10/98,9.30001,8.69217,9.23923,18260035.6,AAPL
Friday,9/11/98,9.63554,8.96691,9.13224,11997323.21,AAPL
Monday,9/14/98,9.43616,9.02769,9.02769,8316693.03,AAPL
Tuesday,9/15/98,9.37539,8.87452,9.27084,14666596.4,AAPL
Wednesday,9/16/98,9.42158,8.99609,9.05687,8890441.28,AAPL
Thursday,9/17/98,9.02769,8.72378,8.76754,9203845.22,AAPL
Friday,9/18/98,8.9353,8.64597,8.92072,9703560.91,AAPL
Monday,9/21/98,8.9815,8.58518,8.9815,10264562.41,AAPL
Tuesday,9/22/98,9.14927,8.84535,8.99609,8740320.47,AAPL
Wednesday,9/23/98,9.28542,8.88911,9.27084,9400029.56,AAPL
Thursday,9/24/98,9.61852,9.17844,9.36079,16952553.2,AAPL
Friday,9/25/98,9.52855,9.14927,9.42158,7566087.24,AAPL
Monday,9/28/98,9.7717,9.3924,9.49695,14109301.24,AAPL
Tuesday,9/29/98,9.7255,9.27084,9.60393,10334478.75,AAPL
Wednesday,9/30/98,9.54315,9.23923,9.27084,5944371.06,AAPL
Thursday,10/1/98,9.23923,8.6022,8.65326,12239167.85,AAPL
Friday,10/2/98,8.81374,8.29829,8.49523,16124208.56,AAPL
Monday,10/5/98,8.40283,7.65883,7.82659,19656362.65,AAPL
Tuesday,10/6/98,8.34205,7.90197,7.93358,13600120.31,AAPL
Wednesday,10/7/98,8.09891,7.62965,7.76581,15076238.47,AAPL
Thursday,10/8/98,7.58346,6.92942,7.50809,23561973.13,AAPL
Friday,10/9/98,8.50981,7.47647,8.50981,22298906.87,AAPL
Monday,10/12/98,9.34621,8.88911,9.04228,21233254.22,AAPL
Tuesday,10/13/98,9.52855,8.75295,9.37539,33277878.34,AAPL
Wednesday,10/14/98,10.044,8.9499,9.13224,76137997.15,AAPL
Thursday,10/15/98,9.05687,8.63138,8.87452,27026677.36,AAPL
Friday,10/16/98,9.23923,8.88911,8.90612,20700220.98,AAPL
Monday,10/19/98,9.25381,8.72378,9.11766,16847252.76,AAPL
Tuesday,10/20/98,9.28542,8.75295,8.78456,12893522.71,AAPL
Wednesday,10/21/98,9.10306,8.69217,9.02769,14738161.37,AAPL
Thursday,10/22/98,9.14927,8.81374,8.9353,11305123.24,AAPL
Friday,10/23/98,8.96691,8.54142,8.61679,12655799.02,AAPL
Monday,10/26/98,9.17844,8.66299,9.11037,15745818.98,AAPL
Tuesday,10/27/98,9.46778,8.54142,8.5706,17199318.22,AAPL
Wednesday,10/28/98,8.99609,8.54142,8.92072,11912602.87,AAPL
Thursday,10/29/98,9.10306,8.70675,8.85993,12254377.63,AAPL
Friday,10/30/98,9.11766,8.81374,9.02769,11164462.29,AAPL
Monday,11/2/98,9.17844,9.05687,9.13224,8899901.6,AAPL
Tuesday,11/3/98,9.30001,9.07146,9.21005,13097938.47,AAPL
Wednesday,11/4/98,9.51397,9.27084,9.40699,22048837.56,AAPL
Thursday,11/5/98,9.57476,9.25381,9.27084,21041992.54,AAPL
Friday,11/6/98,9.30001,9.05687,9.23923,28021996.86,AAPL
Monday,11/9/98,9.27084,8.63138,8.90612,23701812.3,AAPL
Tuesday,11/10/98,8.81374,8.50981,8.50981,29246001.85,AAPL
Wednesday,11/11/98,8.70675,7.96275,8.17671,33254020.67,AAPL
Thursday,11/12/98,8.37366,7.99436,8.28126,20816613.85,AAPL
Friday,11/13/98,8.76754,8.43444,8.66299,27885452.63,AAPL
Monday,11/16/98,8.9353,8.61679,8.76754,12765199.86,AAPL
Tuesday,11/17/98,8.70675,8.44903,8.46362,7218135.92,AAPL
Wednesday,11/18/98,8.75295,8.48063,8.6022,11517760.88,AAPL
Thursday,11/19/98,9.04228,8.61679,8.64597,12176235.42,AAPL
Friday,11/20/98,8.9353,8.44903,8.5706,13180195.48,AAPL
Monday,11/23/98,8.9499,8.55601,8.81374,20609731.32,AAPL
Tuesday,11/24/98,8.9353,8.69217,8.73107,9594571.04,AAPL
Wednesday,11/25/98,8.76754,8.49523,8.55601,10425786.7,AAPL
Friday,11/27/98,8.54142,8.44903,8.52441,5385430.47,AAPL
Monday,11/30/98,8.46362,7.71962,7.7804,18489949.97,AAPL
Tuesday,12/1/98,8.46362,7.69044,8.31287,28770137.67,AAPL
Wednesday,12/2/98,8.96691,8.14511,8.75295,29921327.26,AAPL
Thursday,12/3/98,8.87452,8.17671,8.20589,21030894.96,AAPL
Friday,12/4/98,8.37366,7.7804,7.96275,25024518.47,AAPL
Monday,12/7/98,8.20589,7.96275,8.1913,17366715.81,AAPL
Tuesday,12/8/98,8.25208,7.7804,7.79499,23599819.77,AAPL
Wednesday,12/9/98,7.99436,7.69044,7.76581,20875017.78,AAPL
Thursday,12/10/98,8.00895,7.75122,7.7804,12928074.62,AAPL
Friday,12/11/98,8.26668,7.7804,8.22048,23175358.73,AAPL
Monday,12/14/98,8.09891,7.84119,7.91656,17269237.36,AAPL
Tuesday,12/15/98,8.17671,7.96275,8.14511,8890443.69,AAPL
Wednesday,12/16/98,8.31287,7.93358,7.99436,13150991.44,AAPL
Thursday,12/17/98,8.20589,7.96275,8.14511,10849002.32,AAPL
Friday,12/18/98,8.6022,8.08432,8.54142,27042308.97,AAPL
Monday,12/21/98,8.66299,8.32746,8.50981,12195979.88,AAPL
Tuesday,12/22/98,9.27084,8.75295,9.22464,37729674.16,AAPL
Wednesday,12/23/98,9.84707,9.36079,9.69633,42673381.07,AAPL
Thursday,12/24/98,9.7255,9.52855,9.52855,7234177.57,AAPL
Monday,12/28/98,10.0003,9.48236,9.90785,25434171.56,AAPL
Tuesday,12/29/98,10.0902,9.78628,9.90785,13720628.85,AAPL
Wednesday,12/30/98,10.0003,9.7255,9.75711,7864274.82,AAPL
Thursday,12/31/98,10.0611,9.60393,9.96868,9251553.45,AAPL
Monday,1/4/99,10.2726,9.7255,10.0294,30333046.33,AAPL
Tuesday,1/5/99,10.6835,10.0902,10.5303,48460238.09,AAPL
Wednesday,1/6/99,10.7297,9.96868,10.1656,45318386.9,AAPL
Thursday,1/7/99,10.9558,10.258,10.9266,46545685.02,AAPL
Friday,1/8/99,11.3982,10.6981,10.9266,22650966.03,AAPL
Monday,1/11/99,11.199,10.9121,11.1551,19570000.23,AAPL
Tuesday,1/12/99,11.3375,10.7297,11.199,26864225.15,AAPL
Wednesday,1/13/99,11.5028,10.2726,11.2913,31850287.69,AAPL
Thursday,1/14/99,11.1844,9.98318,10.0756,58135832.99,AAPL
Friday,1/15/99,10.2434,9.7255,10.0513,33480639.17,AAPL
Tuesday,1/19/99,10.2726,9.81789,9.93947,18304869.58,AAPL
Wednesday,1/20/99,10.2118,9.84707,9.86166,26389182.15,AAPL
Thursday,1/21/99,9.86166,9.11766,9.42158,20248624.06,AAPL
Friday,1/22/99,9.60393,9.01067,9.42158,11300597.92,AAPL
Monday,1/25/99,9.61852,9.43616,9.57476,13052282.16,AAPL
Tuesday,1/26/99,9.93947,9.63554,9.86166,19285383.68,AAPL
Wednesday,1/27/99,10.0611,9.71091,9.7255,11405477.1,AAPL
Thursday,1/28/99,10.0294,9.80088,9.93947,9558786.08,AAPL
Friday,1/29/99,10.1048,9.7255,10.0294,8303942.25,AAPL
Monday,2/1/99,10.1972,9.80088,9.93947,9636108.27,AAPL
Tuesday,2/2/99,9.90785,9.48236,9.51397,10626493.11,AAPL
Wednesday,2/3/99,9.86166,9.42158,9.7717,10821033.5,AAPL
Thursday,2/4/99,9.78628,9.21005,9.22464,15298748.05,AAPL
Friday,2/5/99,9.33162,8.63138,8.82832,24580732.15,AAPL
Monday,2/8/99,9.22464,8.81374,9.17844,16413751.8,AAPL
Tuesday,2/9/99,9.49695,9.01067,9.04228,24789674.76,AAPL
Wednesday,2/10/99,9.40699,8.75295,9.30001,19734097.89,AAPL
Thursday,2/11/99,9.66472,9.37539,9.61852,18798825.19,AAPL
Friday,2/12/99,9.51397,8.99609,9.17844,14453961.96,AAPL
Tuesday,2/16/99,9.45318,9.21005,9.34621,9942522.51,AAPL
Wednesday,2/17/99,9.40699,8.9815,8.99609,10047397.95,AAPL
Thursday,2/18/99,9.21005,8.64597,8.74565,16985861.11,AAPL
Friday,2/19/99,9.16385,8.79915,9.04228,12913676.06,AAPL
Monday,2/22/99,9.45318,9.07146,9.3146,10298694.97,AAPL
Tuesday,2/23/99,9.61852,9.22464,9.33162,11363523.38,AAPL
Wednesday,2/24/99,9.48236,9.08848,9.08848,7196748.65,AAPL
Thursday,2/25/99,9.16385,8.87452,8.9815,8927456.12,AAPL
Friday,2/26/99,8.99609,8.38824,8.46362,23441053.01,AAPL
Monday,3/1/99,8.46362,8.17671,8.1913,16882215.72,AAPL
Tuesday,3/2/99,8.58518,8.20589,8.41986,21937787.9,AAPL
Wednesday,3/3/99,8.54142,8.14511,8.32746,9444038.66,AAPL
Thursday,3/4/99,8.48063,7.8728,8.13052,12739702.91,AAPL
Friday,3/5/99,8.34205,7.8728,8.08432,14646859.96,AAPL
Monday,3/8/99,8.43444,8.06974,8.35907,17145439.91,AAPL
Tuesday,3/9/99,8.35907,8.14511,8.26668,11120040.74,AAPL
Wednesday,3/10/99,8.31287,7.88738,7.93358,18780725.93,AAPL
Thursday,3/11/99,8.2375,7.7804,7.79499,15747470.51,AAPL
Friday,3/12/99,8.14511,7.85577,8.03813,9291037.28,AAPL
Monday,3/15/99,8.50981,8.08432,8.28126,12220243.16,AAPL
Tuesday,3/16/99,8.64597,8.49523,8.61679,13548301.16,AAPL
Wednesday,3/17/99,8.76754,8.25208,8.28126,12599865.2,AAPL
Thursday,3/18/99,8.66299,8.32746,8.6022,7917332.07,AAPL
Friday,3/19/99,8.75295,7.99436,8.09891,18104983.87,AAPL
Monday,3/22/99,8.54142,8.00895,8.52441,18833783.62,AAPL
Tuesday,3/23/99,8.37366,7.96275,8.02354,12478121.04,AAPL
Wednesday,3/24/99,8.20589,7.90197,8.17671,13231608.99,AAPL
Thursday,3/25/99,8.48063,8.11593,8.2375,13674156.11,AAPL
Friday,3/26/99,8.22048,8.03813,8.08432,8890027.01,AAPL
Monday,3/29/99,8.61679,8.13052,8.58518,19581097.83,AAPL
Tuesday,3/30/99,8.84535,8.50981,8.72378,19242195.76,AAPL
Wednesday,3/31/99,9.02769,8.72378,8.75295,14430920.81,AAPL
Thursday,4/1/99,8.92072,8.69217,8.75295,8108582.25,AAPL
Monday,4/5/99,9.21005,8.75295,9.01067,16134488.78,AAPL
Tuesday,4/6/99,9.3146,8.9499,9.23923,21082720.64,AAPL
Wednesday,4/7/99,9.30001,8.84535,8.99609,14525108.5,AAPL
Thursday,4/8/99,9.01067,8.75295,8.92072,10150631.92,AAPL
Friday,4/9/99,9.05687,8.73836,8.92072,9561254.08,AAPL
Monday,4/12/99,8.96691,8.48063,8.76754,13438073.51,AAPL
Tuesday,4/13/99,8.9499,8.38824,8.41986,14306142.23,AAPL
Wednesday,4/14/99,9.01067,8.50981,8.64597,22704280.2,AAPL
Thursday,4/15/99,8.81374,8.34205,8.67757,53176903.07,AAPL
Friday,4/16/99,8.76754,8.5706,8.6022,17666135.01,AAPL
Monday,4/19/99,8.75295,8.14511,8.2375,32110230.22,AAPL
Tuesday,4/20/99,8.44903,8.14511,8.26668,18104152.63,AAPL
Wednesday,4/21/99,8.35907,8.14511,8.34205,12071770.04,AAPL
Thursday,4/22/99,8.90612,8.52441,8.84535,24715643.34,AAPL
Friday,4/23/99,9.58934,8.81374,9.51397,33453907.63,AAPL
Monday,4/26/99,10.0294,9.54315,9.93947,32526041.27,AAPL
Tuesday,4/27/99,11.1382,10.4549,11.0943,73447745.51,AAPL
Wednesday,4/28/99,11.1089,10.6081,10.6981,33463369.86,AAPL
Thursday,4/29/99,10.7905,10.1583,10.4695,26957992.81,AAPL
Friday,4/30/99,11.459,10.6981,11.1236,51641566.35,AAPL
Monday,5/3/99,12.1568,11.1236,12.0353,51814290.83,AAPL
Tuesday,5/4/99,11.8237,11.2305,11.3205,28589586.03,AAPL
Wednesday,5/5/99,11.4274,10.8513,11.4128,20630711.61,AAPL
Thursday,5/6/99,11.3982,10.6981,10.8197,14245845.08,AAPL
Friday,5/7/99,11.1551,10.3942,11.1551,15263375.75,AAPL
Monday,5/10/99,11.4128,10.8513,11.002,13956708.54,AAPL
Tuesday,5/11/99,11.2305,10.5911,10.8659,16230732.67,AAPL
Wednesday,5/12/99,11.3058,10.7297,11.2767,14061587.46,AAPL
Thursday,5/13/99,11.3813,11.0628,11.2452,10090585.47,AAPL
Friday,5/14/99,11.1382,10.7905,10.8051,7861393.58,AAPL
Monday,5/17/99,10.8659,10.4549,10.8051,7248982.75,AAPL
Tuesday,5/18/99,11.1844,10.7905,11.0166,15008776.57,AAPL
Wednesday,5/19/99,11.1236,10.5765,10.9727,10283893.24,AAPL
Thursday,5/20/99,11.1236,10.3334,10.3334,14433809.4,AAPL
Friday,5/21/99,10.7735,10.348,10.6689,15629837.3,AAPL
Monday,5/24/99,10.7735,10.1826,10.1972,9257308.59,AAPL
Tuesday,5/25/99,10.3188,9.95408,10.0756,12510608.43,AAPL
Wednesday,5/26/99,10.7905,9.7255,10.7127,14992747.73,AAPL
Thursday,5/27/99,10.6373,10.3796,10.5911,11856662.11,AAPL
Friday,5/28/99,10.7735,10.4866,10.6835,6775999.15,AAPL
Tuesday,6/1/99,11.0166,10.7905,10.9121,16375094.07,AAPL
Wednesday,6/2/99,11.656,10.6981,11.3058,18477193.93,AAPL
Thursday,6/3/99,11.6706,11.3813,11.5344,16084725.5,AAPL
Friday,6/4/99,11.7168,11.4882,11.6851,12489226.47,AAPL
Monday,6/7/99,11.9137,11.549,11.8675,14834814.52,AAPL
Tuesday,6/8/99,11.8675,11.5806,11.5952,10627313.95,AAPL
Wednesday,6/9/99,11.7921,11.5344,11.7775,12476480.3,AAPL
Thursday,6/10/99,11.7313,11.5028,11.7313,11015575.87,AAPL
Friday,6/11/99,11.7921,11.2452,11.3205,6028275.29,AAPL
Monday,6/14/99,11.3375,10.9727,11.002,5138653.83,AAPL
Tuesday,6/15/99,11.3666,10.9727,11.199,4419309.6,AAPL
Wednesday,6/16/99,11.6851,11.2767,11.6414,7827256.34,AAPL
Thursday,6/17/99,11.6098,11.1236,11.2767,7603515.85,AAPL
Friday,6/18/99,11.4882,10.9874,11.3982,4818673.06,AAPL
Monday,6/21/99,11.4882,11.1844,11.3058,4679654.34,AAPL
Tuesday,6/22/99,11.4128,11.0335,11.0774,5080251.36,AAPL
Wednesday,6/23/99,10.9631,10.5911,10.6373,18188058.94,AAPL
Thursday,6/24/99,10.6081,10.2726,10.2872,14628759.22,AAPL
Friday,6/25/99,10.3796,10.2264,10.2434,9619658.87,AAPL
Monday,6/28/99,10.4404,10.3042,10.348,9237571.8,AAPL
Tuesday,6/29/99,11.002,10.365,11.002,12683358.3,AAPL
Wednesday,6/30/99,11.4128,10.9266,11.2767,11352835.17,AAPL
Thursday,7/1/99,11.3205,11.0166,11.0482,5164565.78,AAPL
