e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
0,19.254,0,0,28,1,-1.1,0,0,370.7165,784
0,27.603,1,0,35,4,7.559,0,0,761.9257,1225
0,31.44,0,1,33,1,-1,0,0,988.4736,1089
0,30.24,0,0,45,3,0.92,0,0,914.4576,2025
0,16.83,0,1,28,1,0.74,0,0,283.2489,784
1,30.231,1,0,34,4,-0.03,1,0,913.9134,1156
0,35.4,0,1,33,2,2.475,0,0,1253.16,1089
1,46.155,1,0,55,5,53.948,1,1,2130.284,3025
0,27.33,1,0,50,4,-2.6,0,0,746.9289,2500
1,24.678,0,0,44,3,0.583,0,0,609.0037,1936
1,36.027,1,1,59,2,20.249,1,0,1297.945,3481
0,13.59,0,0,32,4,0,0,0,184.6881,1024
0,15.741,0,0,49,2,0.05,0,0,247.7791,2401
0,27.465,1,0,52,4,1.1,0,0,754.3262,2704
0,54.963,1,0,55,2,53.699,0,0,3020.931,3025
0,18.549,1,0,63,2,19,0,0,344.0654,3969
1,21.576,0,1,39,1,14.5,1,1,465.5238,1521
0,38.76,1,0,47,3,-0.5,0,0,1502.338,2209
1,64.662,1,0,62,2,19.444,1,1,4181.175,3844
1,43.158,1,0,46,2,8,1,0,1862.613,2116
0,17.88,0,0,43,3,-3.151,0,0,319.6944,1849
1,23.7,1,0,53,2,13.2,1,0,561.6901,2809
0,37.755,1,0,56,2,-1.2,0,0,1425.44,3136
1,40.971,1,1,29,3,-9.968,1,0,1678.623,841
0,13.428,1,0,28,2,7.179,0,0,180.3112,784
1,92.991,1,0,48,5,83.9,1,1,8647.325,2304
0,35.061,1,0,41,3,22,0,0,1229.274,1681
0,17.136,0,1,34,3,0.015,0,0,293.6425,1156
0,16.956,1,0,47,2,0.826,0,0,287.5059,2209
1,56.7,1,0,63,2,94.399,1,1,3214.89,3969
0,70.275,1,0,41,4,-2.157,0,0,4938.576,1681
0,13.464,0,0,27,2,0.4,0,0,181.2793,729
0,74.649,1,0,39,4,-8.005,0,0,5572.474,1521
0,24.012,0,0,41,3,-9.456,0,0,576.5761,1681
0,20.559,0,0,30,3,2.9,0,0,422.6725,900
0,39.528,1,1,55,2,-15.718,0,1,1562.463,3025
0,39.303,0,0,34,1,-12.188,0,0,1544.726,1156
0,17.715,0,1,31,1,4.05,0,0,313.8212,961
1,55.08,1,0,54,2,44.043,1,0,3033.807,2916
1,20.76,0,1,55,1,7.955,0,0,430.9776,3025
0,14.283,0,1,40,1,0.028,0,0,204.0041,1600
0,20.436,1,0,31,4,-0.2,0,0,417.6301,961
0,26.388,1,0,26,4,0.866,0,0,696.3266,676
0,46.104,1,0,39,3,4.35,0,0,2125.579,1521
1,49.71,1,0,42,3,27.097,0,1,2471.084,1764
1,76.806,1,0,52,2,80.049,1,0,5899.162,2704
1,39.705,1,0,39,4,71.569,0,1,1576.487,1521
0,11.22,0,0,30,3,0,0,0,125.8884,900
0,18.348,0,0,50,4,0.3,0,0,336.6491,2500
0,13.95,0,0,49,6,0,0,0,194.6025,2401
0,15.216,1,0,32,10,0.2,0,0,231.5266,1024
0,36.15,1,0,32,4,-2.2,0,0,1306.823,1024
0,47.34,0,1,27,2,-10.43,0,0,2241.076,729
0,63.225,1,0,40,6,10.571,0,1,3997.4,1600
1,26.031,0,0,49,2,0.5,0,0,677.613,2401
0,20.4,1,0,36,5,0,0,0,416.16,1296
0,17.928,0,0,36,3,0,0,0,321.4132,1296
1,31.8,1,0,38,5,12.51,1,0,1011.24,1444
0,30,1,1,42,2,-15.1,0,0,900,1764
0,26.463,0,0,43,1,10.011,0,1,700.2903,1849
1,73.722,1,0,42,5,3.2,1,0,5434.933,1764
0,33.414,1,0,32,4,-4.7,0,0,1116.495,1024
1,34.08,1,0,35,6,5.1,0,0,1161.447,1225
1,48.9,0,0,61,1,28.08,1,1,2391.21,3721
1,21,0,1,41,1,-2.347,0,0,441,1681
1,39.609,1,0,59,2,48.684,0,1,1568.873,3481
1,80.85,1,0,45,5,132.425,1,1,6536.722,2025
1,91.761,1,0,35,4,-3.45,0,0,8420.081,1225
0,46.719,1,0,41,5,4,0,0,2182.665,1681
0,19.2,0,1,25,1,0,0,0,368.64,625
1,102.705,1,0,35,2,56.6,1,0,10548.32,1225
0,54.966,1,0,33,3,1.4,0,0,3021.261,1089
0,12.75,0,1,38,2,0,0,0,162.5625,1444
1,52.836,1,0,50,2,37.65,1,0,2791.643,2500
0,12.72,1,0,32,3,0,0,0,161.7984,1024
1,26.646,0,0,28,1,62.679,1,0,710.0093,784
0,59.664,1,0,44,5,11.4,0,1,3559.793,1936
0,39.15,1,0,58,2,189.4,0,1,1532.723,3364
0,21.3,1,0,47,6,-0.986,0,0,453.69,2209
0,30.87,0,0,48,3,10.95,0,1,952.957,2304
0,16.5,1,0,57,2,23,0,0,272.25,3249
0,32.592,1,0,57,4,-2.1,0,0,1062.238,3249
0,27.345,1,0,34,5,0.409,0,0,747.749,1156
0,35.418,1,0,57,5,-5.75,0,0,1254.435,3249
0,24.3,0,0,45,1,0.05,0,0,590.49,2025
1,52.365,1,0,46,2,6,0,0,2742.094,2116
0,26.865,1,1,29,4,-1.945,0,0,721.7282,841
0,39.48,1,0,35,3,40.2,0,1,1558.67,1225
1,45.693,1,0,40,2,18.576,1,1,2087.85,1600
0,39.3,1,0,42,5,-4.9,0,0,1544.49,1764
0,14.244,0,0,60,1,120,0,1,202.8916,3600
0,43.518,1,0,27,3,-7.5,0,0,1893.816,729
0,10.857,0,1,27,1,1.046,0,0,117.8745,729
0,51.222,0,0,33,3,1.6,0,0,2623.693,1089
0,34.764,1,1,63,2,3,0,0,1208.536,3969
0,16.959,1,0,43,7,-0.5,0,0,287.6077,1849
0,23.64,1,0,26,5,-6.001,0,0,558.8495,676
1,56.304,1,0,45,4,29.4,1,0,3170.141,2025
1,107.097,1,0,54,2,47.922,0,0,11469.77,2916
1,46.818,1,0,39,4,1.8,1,1,2191.925,1521
0,13.11,0,0,30,3,0,0,0,171.8721,900
0,29.16,0,0,36,3,4.245,0,0,850.3056,1296
1,42.54,1,0,52,2,30.1,1,0,1809.652,2704
0,74.31,1,0,49,6,-5.5,0,0,5521.976,2401
0,27.729,1,0,31,6,-4.88,0,0,768.8975,961
0,15,0,0,42,3,49.538,0,0,225,1764
1,54.723,1,0,57,2,21.948,1,0,2994.607,3249
0,61.581,1,0,44,4,61.366,0,1,3792.22,1936
1,72.03,1,0,43,2,21.998,0,1,5188.321,1849
1,37.338,1,0,48,7,-18.89,0,1,1394.126,2304
0,27.354,0,0,39,3,2.6,0,1,748.2413,1521
1,92.898,0,1,27,1,30.957,1,1,8630.039,729
0,42.942,1,0,33,4,-2.205,0,0,1844.016,1089
1,31.017,1,0,31,5,1.209,0,1,962.0543,961
1,23.892,0,0,35,1,5.249,1,0,570.8277,1225
1,44.46,1,0,39,2,38.307,1,1,1976.692,1521
0,33.72,1,1,30,2,-2.552,0,0,1137.038,900
0,52.821,1,0,37,5,3.3,0,1,2790.058,1369
1,86.4,1,0,43,4,45.1,0,1,7464.96,1849
0,14.763,1,0,31,4,-5.007,0,0,217.9462,961
1,107.301,1,0,50,3,371.901,1,1,11513.5,2500
0,20.385,0,0,27,1,-0.8,0,0,415.5482,729
1,41.526,1,0,35,2,-1.5,0,0,1724.409,1225
0,27.375,1,0,41,4,-1.2,0,0,749.3906,1681
0,24.336,1,0,42,4,-0.3,0,0,592.2409,1764
1,34.425,1,0,40,4,-6.46,1,0,1185.081,1600
0,43.131,1,0,45,2,59.16,0,1,1860.283,2025
1,57.063,1,0,54,4,138.999,1,1,3256.186,2916
1,41.535,0,1,30,1,83.7,0,1,1725.156,900
0,61.722,1,1,32,3,-2.48,0,0,3809.605,1024
0,99.153,1,0,43,2,80.802,0,1,9831.317,1849
0,37.296,1,0,28,3,-2,0,0,1390.992,784
1,27.06,0,0,38,3,37.1,1,0,732.2436,1444
0,32.46,0,0,26,1,-4.49,0,0,1053.651,676
1,28.491,0,1,46,3,4.02,1,0,811.7371,2116
1,19.596,0,1,41,2,-1.2,1,0,384.0032,1681
1,18.54,0,0,37,5,0.964,1,0,343.7316,1369
1,102.435,1,0,54,2,139.629,1,1,10492.93,2916
0,26.7,1,0,39,4,46,0,0,712.89,1521
1,43.788,0,0,43,3,46.85,1,1,1917.389,1849
1,45.87,1,0,47,2,38.8,1,1,2104.057,2209
0,38.88,0,1,61,2,-17.7,0,0,1511.655,3721
0,17.706,0,0,43,3,3.399,0,0,313.5024,1849
0,21.63,0,0,63,2,-0.74,0,0,467.8569,3969
1,43.437,1,0,36,3,12.818,1,1,1886.773,1296
1,57.15,1,0,34,4,2.2,1,0,3266.123,1156
1,22.902,0,1,51,1,61.749,1,1,524.5016,2601
0,40.74,1,0,42,5,3.6,0,1,1659.748,1764
0,13.182,1,0,32,4,-2.373,0,0,173.7651,1024
0,11.61,0,0,44,1,0.05,0,0,134.7921,1936
1,108.588,1,0,62,2,84.196,0,0,11791.35,3844
1,29.772,1,0,53,2,1.198,0,0,886.3719,2809
1,67.32,1,0,45,3,36.199,1,0,4531.982,2025
1,46.236,1,0,57,3,22.398,0,1,2137.768,3249
0,32.589,1,0,31,4,1.3,0,0,1062.043,961
0,60.498,1,0,40,2,10.05,0,1,3660.008,1600
0,30.21,0,1,30,2,3.1,0,1,912.644,900
1,55.125,1,0,35,4,23.969,1,1,3038.766,1225
1,56.676,1,0,56,2,-6.239,0,0,3212.169,3136
1,70.845,1,0,57,2,200,1,1,5019.014,3249
0,46.815,0,0,44,3,30.902,0,1,2191.644,1936
1,14.43,0,0,27,1,-4.5,0,0,208.2249,729
1,58.173,1,0,31,2,22.45,0,0,3384.098,961
1,50.646,0,0,40,2,45.584,1,1,2565.017,1600
0,12.207,0,1,32,1,-0.843,0,0,149.0108,1024
0,62.526,1,0,52,2,69.1,0,1,3909.501,2704
1,44.703,1,1,32,5,-14,0,0,1998.358,1024
0,85.38,1,0,25,4,-30.24,0,0,7289.744,625
0,34.647,0,1,35,1,4.999,0,0,1200.415,1225
1,27.786,1,1,41,3,-0.001,0,0,772.0618,1681
1,54.45,1,0,63,2,94.599,1,1,2964.802,3969
1,19.638,0,1,52,1,8.5,1,0,385.6511,2704
1,33.312,0,0,36,2,77.2,1,0,1109.689,1296
0,24.534,1,0,25,3,5.15,0,0,601.9172,625
0,18.36,0,1,28,1,0.015,0,0,337.0896,784
0,28.74,0,1,27,1,-1.2,0,0,825.9876,729
0,36.168,1,0,25,3,-1.501,0,0,1308.124,625
0,17.01,1,0,47,3,4.15,0,0,289.3401,2209
0,17.412,0,0,39,3,0,0,0,303.1778,1521
0,32.427,1,0,37,2,0.1,0,0,1051.51,1369
0,38.058,0,1,28,1,5.2,0,0,1448.411,784
1,58.317,1,0,46,3,36.5,0,1,3400.873,2116
0,15.822,1,0,26,2,11.4,0,0,250.3357,676
0,43.275,1,0,26,2,-3.073,0,0,1872.726,676
0,17.445,1,0,34,4,-7,0,0,304.328,1156
1,21.639,1,0,42,4,0.249,0,0,468.2463,1764
0,48.033,0,0,61,2,32.055,0,1,2307.169,3721
0,49.08,1,0,54,2,45.7,0,1,2408.847,2916
1,35.292,0,1,61,1,3,0,0,1245.525,3721
0,28.575,0,0,27,1,1.249,0,0,816.5306,729
0,33.366,0,1,43,1,12.599,0,0,1113.29,1849
1,35.472,0,1,51,2,60.398,1,0,1258.263,2601
0,42.93,1,1,35,3,-18.88,0,0,1842.985,1225
0,17.58,1,0,32,2,12.2,0,1,309.0564,1024
0,77.01,1,0,36,4,26,0,1,5930.541,1296
0,37.662,1,0,37,11,-2.382,0,0,1418.426,1369
1,20.43,1,0,57,1,-1.94,1,0,417.3849,3249
0,27.84,0,0,40,2,0,0,0,775.0656,1600
0,49.806,0,0,37,1,110.103,0,1,2480.638,1369
0,24.678,1,0,34,3,-0.312,0,0,609.0037,1156
0,15.81,1,1,60,3,-3.2,0,0,249.9561,3600
1,17.628,1,0,27,4,12.34,1,0,310.7464,729
0,20.406,1,0,37,4,-10.515,0,1,416.4048,1369
0,37.644,1,1,44,3,-6.656,0,0,1417.071,1936
0,89.175,1,1,43,3,-0.2,0,0,7952.181,1849
0,30.165,1,1,56,3,-0.101,0,0,909.9273,3136
0,27.294,0,0,34,2,-2.5,0,0,744.9625,1156
0,34.509,0,1,39,1,13.3,0,0,1190.871,1521
0,28.716,1,0,30,4,-19.175,0,0,824.6086,900
1,15,0,1,38,1,2.85,1,0,225,1444
1,29.325,1,0,33,4,5.513,1,0,859.9557,1089
0,56.913,1,1,39,3,35.883,0,1,3239.089,1521
1,51.051,1,0,29,4,16.6,1,0,2606.204,841
1,169.2,1,0,49,2,484.198,1,1,28628.64,2401
0,25.704,0,0,49,1,-0.369,0,0,660.6956,2401
0,25.8,0,0,37,1,13.5,0,1,665.64,1369
1,110.985,1,0,36,4,10.8,1,0,12317.67,1296
0,35.625,1,0,34,5,-8,0,0,1269.141,1156
0,45.762,1,0,39,4,16.069,0,1,2094.161,1521
1,46.911,1,0,56,4,9.02,0,1,2200.642,3136
0,15.906,0,0,26,4,0.1,0,0,253.0008,676
1,50.433,1,0,29,2,14.126,1,0,2543.487,841
1,53.844,1,0,44,4,4.73,0,1,2899.177,1936
0,28.356,1,0,26,2,4.591,0,0,804.0628,676
1,50.4,0,1,39,2,5.8,1,0,2540.16,1521
1,33.15,0,0,43,2,24.68,1,0,1098.923,1849
0,16.488,1,0,27,6,-1.422,0,0,271.8542,729
0,41.775,0,1,50,1,9.499,0,1,1745.151,2500
1,36.147,1,0,34,4,-0.071,1,1,1306.606,1156
0,34.95,0,0,41,3,0.5,0,0,1221.503,1681
1,31.005,0,1,27,1,0,0,0,961.31,729
1,48.528,1,0,46,3,3.22,0,0,2354.967,2116
0,34.68,1,1,45,4,-57,0,0,1202.702,2025
0,12.6,0,0,42,1,-9.55,0,0,158.76,1764
0,20.07,1,1,52,2,-4,0,0,402.8049,2704
0,38.319,1,0,31,3,0.09,0,0,1468.346,961
0,20.73,1,0,28,4,1.9,0,0,429.7329,784
0,28.248,0,1,31,1,15.15,0,0,797.9495,961
0,31.098,0,0,55,1,20.299,0,0,967.0856,3025
1,24.996,0,1,44,1,1.4,0,0,624.8,1936
0,22.338,0,1,26,1,0.892,0,0,498.9862,676
0,86.79,1,1,27,4,1.4,0,0,7532.504,729
0,14.655,0,0,27,3,0,0,0,214.769,729
1,16.224,0,0,42,6,-1.5,0,0,263.2182,1764
0,25.185,0,0,59,1,237.95,0,1,634.2842,3481
0,24,0,1,40,1,0,0,0,576,1600
0,48.027,0,1,39,1,1.9,0,1,2306.593,1521
0,17.4,0,0,35,1,-10.1,0,0,302.76,1225
0,18.75,1,0,35,7,0,0,0,351.5625,1225
1,30.576,0,0,31,1,13.5,1,0,934.8918,961
1,91.776,1,1,42,5,12,1,0,8422.834,1764
0,17.85,0,1,25,1,0,0,0,318.6225,625
1,29.31,0,0,54,1,4.8,0,0,859.076,2916
1,66.852,1,0,42,3,10.901,1,0,4469.189,1764
1,23.07,0,0,30,1,2.16,1,0,532.2249,900
1,66.15,1,1,28,4,-1.29,1,0,4375.823,784
1,81.711,1,0,54,5,249.6,1,1,6676.688,2916
0,31.587,1,0,54,2,22.998,0,0,997.7386,2916
1,64.878,0,1,33,1,27.343,1,0,4209.155,1089
0,36.06,0,0,28,1,-5,0,0,1300.324,784
0,33.6,1,0,39,2,-9,0,0,1128.96,1521
0,60.03,1,0,39,5,-3.3,0,0,3603.601,1521
0,60.225,0,1,37,1,-15.8,0,0,3627.051,1369
1,65.7,1,0,43,5,53.948,1,0,4316.49,1849
1,32.49,0,0,61,3,20.6,1,0,1055.6,3721
0,109.608,1,1,33,4,-9,0,0,12013.91,1089
1,97.887,1,0,44,4,60.196,1,1,9581.865,1936
1,50.268,0,1,41,1,20.1,1,0,2526.872,1681
0,55.5,1,0,63,2,55,0,1,3080.25,3969
1,50.484,1,0,36,4,8.6,0,0,2548.634,1296
0,70.905,1,0,41,6,1,0,0,5027.519,1681
0,16.14,0,1,35,1,12.999,0,0,260.4996,1225
0,17.967,0,0,30,4,-2,0,0,322.813,900
1,24.48,1,0,44,3,3.4,1,0,599.2704,1936
0,25.005,1,0,60,3,-1.829,0,0,625.25,3600
0,31.47,1,0,31,2,-0.75,0,1,990.3608,961
0,26.61,0,0,25,1,-5.8,0,0,708.0921,625
0,22.011,1,0,31,7,-1.9,0,0,484.4841,961
0,42.459,1,0,37,5,48.599,0,0,1802.767,1369
0,27,1,0,48,5,47.5,0,0,729,2304
0,101.949,1,0,53,3,32.5,0,1,10393.6,2809
0,22.74,1,1,55,7,15.999,0,0,517.1076,3025
0,20.58,1,0,63,2,2.999,0,0,423.5364,3969
1,96.864,1,0,42,3,-9.38,1,0,9382.634,1764
0,47.403,0,0,46,3,-0.301,0,0,2247.044,2116
0,11.094,1,0,51,3,-0.3,0,0,123.0768,2601
1,51.051,1,0,55,2,62,1,0,2606.204,3025
1,34.743,1,0,56,4,36.5,1,1,1207.076,3136
0,54.621,0,0,37,4,5.3,0,1,2983.453,1369
0,47.385,1,0,36,6,-0.9,0,0,2245.338,1296
0,46.746,1,0,51,3,0.899,0,0,2185.188,2601
0,103.455,0,1,44,1,68.248,0,0,10702.94,1936
1,24.21,1,0,44,6,5.59,1,0,586.1241,1936
0,34.89,1,0,44,5,-1.184,0,0,1217.312,1936
0,63.432,1,0,26,2,23.397,0,1,4023.618,676
0,44.268,1,0,44,3,-2,0,0,1959.656,1936
0,44.508,1,0,27,3,-4.199,0,0,1980.962,729
1,26.19,1,0,50,2,63.249,0,1,685.9161,2500
0,38.949,1,0,60,2,0.599,0,0,1517.025,3600
0,12.87,0,1,31,1,2.8,0,0,165.6369,961
1,17.484,0,0,57,3,27.999,1,0,305.6902,3249
0,36.873,1,0,29,2,-4.9,0,0,1359.618,841
0,17.04,1,0,27,3,-0.275,0,0,290.3616,729
0,22.137,0,0,50,1,0.16,0,0,490.0467,2500
0,25.02,0,1,36,1,0.1,0,0,626.0004,1296
1,39.288,0,1,27,1,6.6,0,0,1543.547,729
0,26.925,1,0,39,5,-2.4,0,0,724.9556,1521
0,23.661,0,0,33,1,4.1,0,0,559.8429,1089
0,28.8,1,0,42,4,-1.5,0,0,829.4399,1764
1,23.661,1,0,41,4,-3.452,0,0,559.8429,1681
0,44.775,1,0,34,4,-26.28,0,0,2004.801,1156
0,68.04,1,1,31,5,44.75,0,1,4629.442,961
0,29.526,0,0,44,4,18.449,0,1,871.7846,1936
0,32.022,1,0,35,3,0.449,0,0,1025.408,1225
0,52.2,1,0,32,4,15,0,0,2724.84,1024
0,53.04,1,0,30,4,-4,0,0,2813.242,900
1,43.47,1,0,41,5,-0.7,1,0,1889.641,1681
1,42.84,1,0,47,2,89.664,1,0,1835.266,2209
1,43.26,1,0,38,4,10.2,1,1,1871.427,1444
1,68.676,1,0,39,4,1.05,1,0,4716.394,1521
0,23.748,0,1,31,1,-1.55,0,0,563.9675,961
0,19.68,1,0,48,4,0.08,0,0,387.3024,2304
0,29.604,0,0,28,3,-15.9,0,0,876.3969,784
1,24.06,0,0,43,1,18.5,1,1,578.8835,1849
0,15.54,0,1,46,1,-2,0,0,241.4916,2116
1,49.38,1,0,56,4,37.4,1,0,2438.385,3136
1,54.597,1,0,42,4,1.7,1,0,2980.833,1764
0,18.468,0,0,55,1,-0.5,0,0,341.067,3025
0,39.681,0,0,49,3,11.899,0,0,1574.582,2401
0,89.118,1,0,35,3,-315.701,0,0,7942.017,1225
0,10.797,0,1,57,2,0,0,0,116.5752,3249
0,42.024,1,0,44,4,-1.2,0,0,1766.016,1936
0,44.475,1,0,37,2,0.749,0,0,1978.026,1369
0,29.364,0,0,30,1,-9.1,0,0,862.2445,900
1,33.54,1,0,55,2,18.549,1,1,1124.932,3025
0,27.561,1,0,50,4,0.84,0,0,759.6088,2500
1,29.466,0,1,43,2,123.639,1,1,868.2451,1849
0,139.137,1,1,46,2,9,0,0,19359.1,2116
0,20.43,0,0,49,1,0.5,0,0,417.3849,2401
0,18.015,0,1,31,1,2,0,0,324.5402,961
1,34.671,0,1,33,1,-11.4,1,0,1202.078,1089
1,65.556,1,0,34,4,9.145,1,0,4297.589,1156
0,20.43,0,0,30,1,0.499,0,0,417.3849,900
1,22.527,0,0,43,1,1.149,0,0,507.4658,1849
1,54.075,0,1,41,1,68.449,1,0,2924.106,1681
0,12.243,0,0,36,2,0.299,0,0,149.8911,1296
1,10.368,1,0,40,3,4.947,1,1,107.4954,1600
1,14.04,0,0,40,2,1,1,0,197.1216,1600
1,43.314,1,1,30,2,4.5,0,0,1876.103,900
0,29.616,0,0,62,2,5.071,0,1,877.1074,3844
0,26.88,1,0,62,3,99.35,0,0,722.5344,3844
0,18.999,0,1,25,2,-3.05,0,0,360.962,625
0,25.5,1,0,28,4,2.4,0,0,650.25,784
1,52.962,1,0,33,3,-9.8,0,0,2804.974,1089
1,20.568,1,0,47,2,-0.064,0,0,423.0427,2209
0,35.493,1,0,26,4,-2.32,0,0,1259.753,676
1,50.163,0,0,55,3,53.525,1,0,2516.326,3025
1,64.104,1,0,36,5,51.2,1,0,4109.322,1296
0,38.94,1,0,61,3,36.5,0,1,1516.323,3721
1,35.652,0,0,44,2,-3.2,0,0,1271.065,1936
0,12.375,1,0,26,4,-0.6,0,0,153.1406,676
0,13.728,1,0,44,5,-4.108,0,0,188.458,1936
0,17.229,0,0,33,2,0.374,0,0,296.8384,1089
0,15.888,0,1,27,2,-0.15,0,0,252.4285,729
1,119.364,1,0,50,2,72.1,0,1,14247.76,2500
1,65.844,1,0,40,3,6.599,0,1,4335.433,1600
0,34.686,1,0,44,5,-39.915,0,0,1203.119,1936
0,21.948,0,0,54,1,20.75,0,1,481.7147,2916
0,23.634,0,0,48,2,0,0,0,558.566,2304
0,34.68,1,0,40,5,1.6,0,0,1202.702,1600
0,35.616,0,0,42,1,42.499,0,1,1268.5,1764
1,59.34,1,0,63,2,21.299,1,1,3521.236,3969
0,21.6,1,0,28,4,-0.8,0,0,466.56,784
0,49.002,1,0,61,5,-29.001,0,0,2401.196,3721
1,136.389,1,1,60,2,141.223,1,1,18601.96,3600
0,28.83,0,1,26,1,6.899,0,1,831.1689,676
