"name","hits","at_bat","average"
"Andy Allison",15,93,0.161290322580645
"Art Allison",188,740,0.254054054054054
"Bill Allison",3,19,0.157894736842105
"Bob Allison",1281,5032,0.254570747217806
"Milo Allison",13,60,0.216666666666667
"Beau Allred",38,165,0.23030303030303
"Mel Almada",706,2483,0.284333467579541
"Rafael Almeida",77,285,0.270175438596491
"Abraham Almonte",124,508,0.244094488188976
"Bill Almon",846,3330,0.254054054054054
"Erick Almonte",31,133,0.233082706766917
"Zoilo Almonte",30,142,0.211267605633803
"Roberto Alomar",2724,9073,0.300231455968257
"Sandy Alomar",1168,4760,0.245378151260504
"Sandy Alomar",1236,4530,0.272847682119205
"Yonder Alonso",443,1621,0.273288093769278
"Felipe Alou",2101,7339,0.286278784575555
"Jesus Alou",1216,4345,0.279861910241657
"Moises Alou",2134,7037,0.30325422765383
"Whitey Alpermann",387,1632,0.237132352941176
"Dell Alston",79,332,0.237951807228916
"Tom Alston",66,271,0.243542435424354
"Walter Alston",0,1,0
"Jesse Altenburg",9,31,0.290322580645161
"Aaron Altherr",33,142,0.232394366197183
"Dave Altizer",433,1734,0.249711649365629
"George Altman",832,3091,0.269168553866063
"Joe Altobelli",54,257,0.21011673151751
"Jose Altuve",830,2721,0.305034913634693
"George Alusik",167,652,0.256134969325153
"Clemente Alvarez",1,5,0.2
"Dariel Alvarez",7,29,0.241379310344828
"Gabe Alvarez",59,266,0.221804511278195
"Luis Alvarado",248,1160,0.213793103448276
"Orlando Alvarez",8,51,0.156862745098039
"Ossie Alvarez",42,198,0.212121212121212
"Pedro Alvarez",590,2500,0.236
"Rogelio Alvarez",7,37,0.189189189189189
"Tony Alvarez",16,64,0.25
"Max Alvis",895,3629,0.246624414439239
"Billy Alvord",270,1069,0.252572497661366
"Brant Alyea",214,866,0.247113163972286
"Joey Amalfitano",418,1715,0.243731778425656
"Rich Amaral",493,1788,0.27572706935123
"Ruben Amaro",505,2155,0.234338747099768
"Ruben Amaro",218,927,0.235167206040992
"Wayne Ambler",175,782,0.223785166240409
"Chip Ambres",44,189,0.232804232804233
"Ed Amelung",11,57,0.192982456140351
"Alfredo Amezaga",348,1408,0.247159090909091
"Sandy Amoros",334,1311,0.254767353165523
"Alf Anderson",93,390,0.238461538461538
"Andy Anderson",41,223,0.183856502242152
"Brady Anderson",1661,6499,0.255577781197107
"Brian Anderson",181,799,0.226533166458073
"Bryan Anderson",15,68,0.220588235294118
"Dave Anderson",490,2026,0.241855873642646
"Drew Anderson",1,9,0.111111111111111
"Dwain Anderson",62,306,0.202614379084967
"Ferrell Anderson",61,234,0.260683760683761
"Garret Anderson",2529,8640,0.292708333333333
"George Anderson",289,1007,0.286991062562066
"Goat Anderson",85,413,0.205811138014528
"Hal Anderson",8,32,0.25
"Harry Anderson",419,1586,0.264186633039092
"Jim Anderson",211,970,0.217525773195876
"John Anderson",1841,6341,0.290332755085949
"Josh Anderson",132,486,0.271604938271605
"Kent Anderson",95,366,0.259562841530055
"Lars Anderson",8,48,0.166666666666667
"Marlon Anderson",849,3204,0.26498127340824
"Sparky Anderson",104,477,0.218029350104822
"Robert Andino",306,1320,0.231818181818182
"Ed Andrews",830,3233,0.256727497680173
"Ernie Andres",4,41,0.0975609756097561
"Fred Andrews",8,29,0.275862068965517
"Jim Andrews",38,202,0.188118811881188
"Kim Andrew",1,2,0.5
"Mike Andrews",803,3116,0.257702182284981
"Rob Andrews",365,1454,0.251031636863824
"Shane Andrews",375,1704,0.220070422535211
"Stan Andrews",32,149,0.214765100671141
"Wally Andrews",28,142,0.197183098591549
"Bill Andrus",0,9,0
"Elvis Andrus",1113,4119,0.270211216314639
"Wyman Andrus",0,4,0
"Matt Angle",14,79,0.177215189873418
"Tom Angley",4,16,0.25
"Pat Ankenman",7,29,0.241379310344828
"Bill Annis",17,96,0.177083333333333
"Eric Anthony",462,1999,0.231115557778889
"Joe Antolick",2,6,0.333333333333333
"Bill Antonello",7,43,0.162790697674419
"John Antonelli",133,528,0.251893939393939
"Matt Antonelli",11,57,0.192982456140351
"Nori Aoki",563,1963,0.286805909322466
"Luis Aparicio",2677,10230,0.261681329423265
"Luke Appling",2749,8856,0.310411020776874
"Angel Aragon",9,76,0.118421052631579
"Maurice Archdeacon",128,384,0.333333333333333
"Jimmy Archer",660,2646,0.249433106575964
"George Archie",115,421,0.273159144893112
"Jose Arcia",132,615,0.214634146341463
"Oswaldo Arcia",190,781,0.243277848911652
"Dan Ardell",1,4,0.25
"Joe Ardner",88,415,0.212048192771084
"Danny Ardoin",87,423,0.205673758865248
"Nolan Arenado",431,1534,0.28096479791395
"Hank Arft",229,906,0.252759381898455
"Alex Arias",470,1773,0.265087422447829
"George Arias",114,480,0.2375
"Joaquin Arias",279,1052,0.265209125475285
"Buzz Arlett",131,418,0.313397129186603
"Marcos Armas",6,31,0.193548387096774
"Tony Armas",1302,5164,0.252130131680868
"Charlie Armbruster",53,355,0.149295774647887
"Ed Armbrister",65,265,0.245283018867925
"Harry Armbruster",63,265,0.237735849056604
"Robert Armstrong",11,49,0.224489795918367
"George Armstrong",1,6,0.166666666666667
"Harry Arndt",244,985,0.247715736040609
"Larry Arndt",1,6,0.166666666666667
"Billy Arnold",1,7,0.142857142857143
"Chris Arnold",103,435,0.236781609195402
"Morrie Arnovich",577,2013,0.286636860407352
"Erisbel Arruebarrena",8,41,0.195121951219512
"Tug Arundel",45,260,0.173076923076923
"Randy Asadoor",20,55,0.363636363636364
"Jim Asbell",6,33,0.181818181818182
"Casper Asbjornson",52,221,0.235294117647059
"Cody Asche",242,984,0.245934959349594
"Richie Ashburn",2574,8365,0.307710699342499
"Alan Ashby",1010,4123,0.244967256851807
"Tucker Ashford",111,510,0.217647058823529
"Billy Ashley",144,618,0.233009708737864
"Nevin Ashley",2,20,0.1
"Tom Asmussen",0,5,0
"Bob Aspromonte",1103,4369,0.252460517280842
"Ken Aspromonte",369,1483,0.24881995954147
"Brian Asselstine",146,574,0.254355400696864
"Joe Astroth",401,1579,0.253958201393287
"Charlie Atherton",60,242,0.247933884297521
"Ed Atkinson",0,8,0
"Garrett Atkins",835,2928,0.285177595628415
"Lefty Atkinson",0,1,0
"Dick Attreau",31,144,0.215277777777778
"Toby Atwell",290,1117,0.259623992837959
"Bill Atwood",220,961,0.228928199791883
"John Atz",132,605,0.218181818181818
"Chub Aubrey",69,325,0.212307692307692
"Michael Aubrey",35,135,0.259259259259259
"Rich Aude",34,151,0.225165562913907
"Rick Auerbach",309,1407,0.219616204690832
"Dave Augustine",6,29,0.206896551724138
"Tex Aulds",1,4,0.25
"Doug Ault",168,713,0.23562412342216
"Rich Aurilia",1576,5721,0.275476315329488
"Brad Ausmus",1579,6279,0.251473164516643
"Henry Austin",25,101,0.247524752475248
"Jimmy Austin",1328,5388,0.246473645137342
"Chick Autry",50,257,0.194552529182879
"Chick Autry",68,277,0.245487364620939
"Bruce Aven",166,609,0.272577996715928
"Earl Averill",2019,6353,0.317802612938769
"Earl Averill",249,1031,0.241513094083414
"Xavier Avery",21,94,0.223404255319149
"Alex Avila",504,2084,0.241842610364683
"Bobby Avila",1296,4620,0.280519480519481
"Mike Aviles",731,2756,0.265239477503628
"Ramon Aviles",51,190,0.268421052631579
"Benny Ayala",217,865,0.250867052023121
"Erick Aybar",1223,4427,0.276259317822453
"Willy Aybar",315,1219,0.258408531583265
"Dick Aylward",0,3,0
"Joe Ayrault",1,5,0.2
"Joe Azcue",712,2828,0.251768033946252
"Oscar Azocar",99,439,0.225512528473804
"Charlie Babb",287,1180,0.243220338983051
"Loren Babe",85,382,0.222513089005236
"Charlie Babington",8,33,0.242424242424242
"Shooty Babitt",40,156,0.256410256410256
"Wally Backman",893,3245,0.275192604006163
"Art Bader",0,3,0
"Red Badgro",98,382,0.256544502617801
"Carlos Baerga",1583,5439,0.291046148189005
"Javier Baez",58,289,0.200692041522491
"Jose Baez",87,355,0.245070422535211
"Kevin Baez",27,151,0.178807947019868
"Bill Bagwell",42,143,0.293706293706294
"Jeff Bagwell",2314,7797,0.296780813133256
"Frank Bahret",0,8,0
"Bill Bailey",1,9,0.111111111111111
"Bob Bailey",1564,6082,0.257152252548504
"Ed Bailey",915,3581,0.25551521921251
"Fred Bailey",23,124,0.185483870967742
"Gene Bailey",156,634,0.246056782334385
"Jeff Bailey",31,136,0.227941176470588
"Mark Bailey",209,949,0.220231822971549
"Harold Baines",2866,9908,0.289261203068228
"Al Baird",27,107,0.252336448598131
"Doug Baird",492,2106,0.233618233618234
"Jeff Baisley",11,43,0.255813953488372
"Bill Baker",145,588,0.246598639455782
"Charlie Baker",8,57,0.140350877192982
"Chuck Baker",27,146,0.184931506849315
"Dave Baker",5,20,0.25
"Del Baker",63,302,0.208609271523179
"Doug Baker",51,246,0.207317073170732
"Dusty Baker",1981,7117,0.27834761837853
"Floyd Baker",573,2280,0.251315789473684
"Home Run Baker",1838,5984,0.307152406417112
"Frank Baker",82,353,0.232294617563739
"Frank Baker",55,288,0.190972222222222
"George Baker",74,474,0.156118143459916
"Gene Baker",590,2230,0.26457399103139
"Howard Baker",18,82,0.219512195121951
"Jack Baker",3,26,0.115384615384615
"Jeff Baker",474,1793,0.2643614054657
"Phil Baker",212,817,0.259485924112607
"Paul Bako",508,2202,0.230699364214351
"John Balaz",39,162,0.240740740740741
"Steve Balboni",714,3120,0.228846153846154
"Bobby Balcena",0,2,0
"Rocco Baldelli",531,1910,0.278010471204188
"Billy Baldwin",27,117,0.230769230769231
"Frank Baldwin",2,20,0.1
"Henry Baldwin",5,16,0.3125
"Jeff Baldwin",0,8,0
"Reggie Baldwin",21,87,0.241379310344828
"Mike Balenti",40,219,0.182648401826484
"Wladimir Balentien",113,511,0.221135029354207
"Lee Bales",4,43,0.0930232558139535
"Art Ball",16,84,0.19047619047619
"Pelham Ballenger",1,9,0.111111111111111
"Jeff Ball",1,4,0.25
"Jim Ball",7,51,0.137254901960784
"Neal Ball",404,1609,0.251087632069608
"Hal Bamberger",1,12,0.0833333333333333
"Studs Bancker",11,72,0.152777777777778
"Dave Bancroft",2004,7182,0.279030910609858
"Chris Bando",292,1284,0.227414330218069
"Jett Bandy",1,2,0.5
"Jeff Banister",1,1,1
"Brian Banks",122,495,0.246464646464646
"Ernie Banks",2583,9421,0.274174716059866
"Bill Bankston",5,36,0.138888888888889
"George Banks",44,201,0.218905472636816
"Wes Bankston",12,59,0.203389830508475
"Alan Bannister",811,3007,0.26970402394413
"Jim Banning",0,1,0
"Tom Bannon",44,166,0.265060240963855
"Brandon Bantz",0,2,0
"Rod Barajas",812,3460,0.234682080924855
"Red Barbary",0,1,0
"Walter Barbare",462,1777,0.259988745075971
"Bret Barberie",388,1434,0.270571827057183
"Charlie Barber",41,204,0.200980392156863
"Dave Barbee",92,374,0.245989304812834
"Jap Barbeau",160,712,0.224719101123595
"Turner Barber",442,1531,0.288700195950359
"Jim Barbieri",23,82,0.280487804878049
"George Barclay",382,1538,0.248374512353706
"Brian Barden",37,175,0.211428571428571
"Josh Bard",452,1778,0.25421822272216
"Jesse Barfield",1219,4759,0.256146249212019
"Josh Barfield",267,1012,0.263833992094862
"Al Barker",1,4,0.25
"Andy Barkett",14,46,0.304347826086957
"Glen Barker",38,164,0.231707317073171
"Kevin Barker",71,285,0.249122807017544
"Ray Barker",68,318,0.213836477987421
"Sean Barker",0,2,0
"Red Barkley",43,163,0.263803680981595
"Sam Barkley",602,2329,0.258480034349506
"Tom Barlow",174,607,0.28665568369028
"Bruce Barmes",1,5,0.2
"Clint Barmes",932,3805,0.244940867279895
"Babe Barna",154,664,0.231927710843373
"Austin Barnes",6,29,0.206896551724138
"Bill Barnes",6,30,0.2
"Brandon Barnes",257,1053,0.244064577397911
"Darwin Barney",472,1921,0.245705361790734
"Ed Barney",61,272,0.224264705882353
"Eppie Barnes",1,7,0.142857142857143
"John Barnes",14,58,0.241379310344828
"Larry Barnes",12,78,0.153846153846154
"Lute Barnes",18,74,0.243243243243243
"Red Barnes",225,836,0.269138755980861
"Sam Barnes",2,11,0.181818181818182
"Skeeter Barnes",159,614,0.258957654723127
"Clyde Barnhart",788,2673,0.294799850355406
"Tucker Barnhart",71,296,0.239864864864865
"Vic Barnhart",55,204,0.269607843137255
"Billy Barnie",55,321,0.171339563862928
"Chris Barnwell",2,30,0.0666666666666667
"Dick Barone",0,6,0
"Steve Baron",0,11,0
"Cuno Barragan",33,163,0.202453987730061
"German Barranca",18,62,0.290322580645161
"John Barrett",7,34,0.205882352941176
"Bill Barrett",2,13,0.153846153846154
"Bob Barrett",169,650,0.26
"Jimmy Barrett",962,3306,0.290986085904416
"Johnny Barrett",454,1811,0.250690226394257
"Marty Barrett",1,19,0.0526315789473684
"Marty Barrett",938,3378,0.277679100059207
"Michael Barrett",925,3512,0.263382687927107
"Tom Barrett",17,84,0.202380952380952
"Jose Barrios",3,19,0.157894736842105
"Cuke Barrows",19,99,0.191919191919192
"Frank Barrows",13,86,0.151162790697674
"Red Barron",4,21,0.19047619047619
"Tony Barron",54,190,0.284210526315789
"Scotty Barr",12,107,0.11214953271028
"Jack Barry",1009,4146,0.243367100820068
"Jeff Barry",53,217,0.244239631336406
"Rich Barry",6,32,0.1875
"Shad Barry",1073,4014,0.267314399601395
"Dick Bartell",2165,7629,0.283785555118626
"Kimera Bartee",90,416,0.216346153846154
"Tony Bartirome",78,355,0.219718309859155
"Boyd Bartley",1,21,0.0476190476190476
"Irv Bartling",8,46,0.173913043478261
"Jason Bartlett",849,3141,0.270296084049666
"Bob Barton",237,1049,0.225929456625357
"Brian Barton",41,153,0.26797385620915
"Dave Bartosch",12,47,0.25531914893617
"Daric Barton",431,1744,0.247133027522936
"Harry Barton",10,60,0.166666666666667
"Vince Barton",87,373,0.233243967828418
"Chris Basak",0,1,0
"Monty Basgall",110,512,0.21484375
"Al Bashang",2,17,0.117647058823529
"Walt Bashore",2,10,0.2
"Eddie Basinski",147,602,0.244186046511628
"Doc Bass",1,1,1
"Charley Bassett",806,3493,0.230747208703121
"John Bass",29,100,0.29
"Kevin Bass",1308,4839,0.270303781773094
"Johnny Bassler",704,2319,0.303579128934886
"Randy Bass",69,325,0.212307692307692
"Emil Batch",315,1253,0.251396648044693
"John Bateman",765,3330,0.22972972972973
"Aaron Bates",4,11,0.363636363636364
"Billy Bates",6,48,0.125
"Bud Bates",15,58,0.258620689655172
"Charlie Bates",9,38,0.236842105263158
"Del Bates",8,60,0.133333333333333
"Jason Bates",162,677,0.239290989660266
"Johnny Bates",1087,3913,0.277791975466394
"Ray Bates",120,515,0.233009708737864
"Bill Bathe",39,183,0.213114754098361
"Kevin Batiste",2,8,0.25
"Kim Batiste",154,658,0.234042553191489
"Rafael Batista",7,25,0.28
"Tony Batista",1146,4568,0.250875656742557
"Larry Battam",1,4,0.25
"Earl Battey",969,3586,0.270217512548801
"George Batten",0,3,0
"Allen Battle",57,248,0.229838709677419
"Howard Battle",9,37,0.243243243243243
"Jim Battle",3,8,0.375
"Matt Batts",432,1605,0.269158878504673
"Hank Bauer",1424,5145,0.276773566569485
"Justin Baughman",55,218,0.252293577981651
"Paddy Baumann",248,904,0.274336283185841
"Jim Baumer",7,34,0.205882352941176
"John Baumgartner",5,27,0.185185185185185
"Frank Baumholtz",1010,3477,0.290480299108427
"Danny Bautista",685,2517,0.272149384187525
"Jose Bautista",1212,4716,0.256997455470738
"Jim Baxes",69,280,0.246428571428571
"Mike Baxes",73,337,0.216617210682493
"Mike Baxter",95,417,0.227817745803357
"Moose Baxter",4,21,0.19047619047619
"Harry Bay",722,2640,0.273484848484848
"Jason Bay",1200,4505,0.266370699223085
"Dick Bayless",16,71,0.225352112676056
"Don Baylor",2135,8198,0.260429373017809
"Jack Beach",3,31,0.0967741935483871
"Bob Beall",54,234,0.230769230769231
"Johnny Beall",43,170,0.252941176470588
"Tommy Beals",131,539,0.2430426716141
"Charlie Beamon",10,51,0.196078431372549
"Trey Beamon",40,158,0.253164556962025
"Bill Bean",108,478,0.225941422594142
"Billy Beane",66,301,0.219269102990033
"Joe Bean",39,176,0.221590909090909
"Ollie Beard",353,1307,0.270084162203519
"Ted Beard",94,474,0.19831223628692
"Lew Beasley",7,32,0.21875
"Dave Beadle",0,3,0
"Desmond Beatty",0,3,0
"Jim Beauchamp",153,661,0.231467473524962
"Ginger Beaumont",1759,5660,0.310777385159011
"Edward Beavens",15,58,0.258620689655172
"Clyde Beck",354,1525,0.232131147540984
"Beals Becker",763,2764,0.276049204052098
"Glenn Beckert",1473,5208,0.282834101382488
"Heinie Beckendorf",25,137,0.182481751824818
"Heinz Becker",94,358,0.262569832402235
"Joe Becker",20,83,0.240963855421687
"Marty Becker",13,52,0.25
"Erve Beck",265,912,0.290570175438596
"Rich Becker",570,2227,0.255949708127526
"Fred Beck",536,2130,0.251643192488263
"Gordon Beckham",696,2874,0.242171189979123
"Tim Beckham",48,210,0.228571428571429
"Zinn Beck",204,902,0.226164079822616
"Howie Bedell",28,145,0.193103448275862
"Gene Bedford",0,3,0
"Ed Biecher",9,37,0.243243243243243
"Jodie Beeler",0,3,0
"Gene Bagley",2,16,0.125
"Jim Begley",1,5,0.2
"Steve Behel",54,257,0.21011673151751
"Ollie Bejma",222,906,0.245033112582781
"Mark Belanger",1316,5784,0.227524204702628
"Wayne Belardi",143,592,0.241554054054054
"Kevin Belcher",2,15,0.133333333333333
"Ira Belden",8,30,0.266666666666667
"Tim Belk",3,15,0.2
"Steve Bellan",69,274,0.251824817518248
"Zeke Bella",18,92,0.195652173913043
"Beau Bell",806,2718,0.29654157468727
"Buddy Bell",2514,8995,0.279488604780434
"David Bell",1239,4826,0.256734355573974
"Albert Belle",1726,5853,0.294891508628054
"Fern Bell",75,265,0.283018867924528
"Frank Bell",5,29,0.172413793103448
"George Bell",1702,6123,0.277968316184877
"Gus Bell",1823,6478,0.281414016671812
"Mark Bellhorn",484,2107,0.229710488846701
"Clay Bellinger",60,311,0.192926045016077
"Rafael Belliard",508,2301,0.22077357670578
"Ronnie Belliard",1377,5045,0.272943508424182
"Jay Bell",1963,7398,0.265341984320086
"Josh Bell",53,272,0.194852941176471
"Juan Bell",177,836,0.211722488038278
"Kevin Bell",161,726,0.221763085399449
"Les Bell",938,3239,0.28959555418339
"Mike Bell",15,75,0.2
"Mike Bell",6,27,0.222222222222222
"Jack Bellman",1,2,0.5
"Edwin Bellorin",3,13,0.230769230769231
"Rob Belloir",36,167,0.215568862275449
"Rudy Bell",11,52,0.211538461538462
"Terry Bell",0,4,0
"Vince Belnome",1,10,0.1
"Brandon Belt",492,1813,0.271373414230557
"Adrian Beltre",2767,9712,0.284905271828666
"Carlos Beltran",2454,8749,0.280489198765573
"Engel Beltre",10,40,0.25
"Esteban Beltre",95,401,0.236907730673317
"Harry Bemis",569,2229,0.255271422162405
"Marvin Benard",714,2630,0.27148288973384
"Freddie Benavides",135,534,0.252808988764045
"Johnny Bench",2048,7658,0.267432750065291
"Art Benedict",4,15,0.266666666666667
"Bruce Benedict",696,2878,0.241834607366227
"Joe Benes",2,12,0.166666666666667
"Benny Bengough",287,1125,0.255111111111111
"Juan Beniquez",1274,4651,0.273919587185551
"Yamil Benitez",109,448,0.243303571428571
"Stan Benjamin",176,770,0.228571428571429
"Charlie Bennett",978,3821,0.255953938759487
"Fred Bennett",27,97,0.278350515463918
"Gary Bennett",408,1690,0.241420118343195
"Herschel Bennett",242,877,0.27594070695553
"Ike Benners",39,211,0.184834123222749
"Pug Bennett",228,919,0.248095756256801
"Joe Benson",17,71,0.23943661971831
"Vern Benson",21,104,0.201923076923077
"Butch Benton",16,99,0.161616161616162
"Rabbit Benton",4,19,0.210526315789474
"Todd Benzinger",733,2856,0.256652661064426
"Johnny Berardino",755,3028,0.249339498018494
"Lou Berberet",281,1224,0.229575163398693
"Jeff Berblinger",0,5,0
"Augie Bergamo",151,496,0.304435483870968
"Dave Berg",430,1600,0.26875
"Bill Bergen",516,3028,0.170409511228534
"Boze Berger",270,1144,0.236013986013986
"Brandon Berger",46,217,0.211981566820276
"Clarence Berger",1,13,0.0769230769230769
"Joe Berger",71,371,0.191374663072776
"Johnny Berger",5,16,0.3125
"Marty Bergen",339,1278,0.265258215962441
"Peter Bergeron",249,1103,0.225747960108794
"Tun Berger",150,622,0.241157556270096
"Wally Berger",1550,5163,0.300213054425721
"John Bergh",8,44,0.181818181818182
"Marty Berghammer",180,774,0.232558139534884
"Al Bergman",3,14,0.214285714285714
"Dave Bergman",690,2679,0.257558790593505
"Moe Berg",441,1813,0.243243243243243
"William Bergolla",5,38,0.131578947368421
"Frank Berkelbach",6,25,0.24
"Nate Berkenstock",0,4,0
"Lance Berkman",1905,6491,0.293483284547835
"Curt Bernard",35,147,0.238095238095238
"Roger Bernadina",312,1323,0.235827664399093
"Tony Bernazard",970,3700,0.262162162162162
"Juan Bernhardt",117,492,0.23780487804878
"Carlos Bernier",66,310,0.212903225806452
"Doug Bernier",15,69,0.217391304347826
"Johnny Bero",34,169,0.201183431952663
"Dale Berra",603,2553,0.236192714453584
"Dennis Berran",1,4,0.25
"Yogi Berra",2150,7555,0.28457974851092
"Ray Berres",287,1330,0.215789473684211
"Angel Berroa",665,2575,0.258252427184466
"Geronimo Berroa",692,2506,0.276137270550678
"Charlie Berry",38,170,0.223529411764706
"Charlie Berry",539,2018,0.267096134786918
"Claude Berry",165,753,0.219123505976096
"Damon Berryhill",488,2030,0.240394088669951
"Joe Berry",1,4,0.25
"Joe Berry",2,6,0.333333333333333
"Ken Berry",1053,4136,0.254593810444874
"Neil Berry",265,1087,0.243790248390064
"Quintin Berry",80,302,0.264900662251656
"Sean Berry",657,2413,0.2722751761293
"Tom Berry",1,4,0.25
"Dick Bertell",327,1310,0.249618320610687
"Harry Berte",5,15,0.333333333333333
"Harry Berthrong",17,73,0.232876712328767
"Reno Bertoia",425,1745,0.243553008595989
"Bob Bescher",1171,4536,0.2581569664903
"William Bestick",4,14,0.285714285714286
"Jim Beswick",1,20,0.05
"Yuniesky Betancourt",1057,4052,0.260858835143139
"Frank Betcher",18,89,0.202247191011236
"Wilson Betemit",558,2093,0.266602962255136
"Christian Bethancourt",59,269,0.219330855018587
"Bill Bethea",5,30,0.166666666666667
"Larry Bettencourt",102,395,0.258227848101266
"Mookie Betts",229,786,0.291348600508906
"Bruno Betzel",333,1444,0.230609418282548
"Kurt Bevacqua",499,2117,0.235710911667454
"Hal Bevan",7,24,0.291666666666667
"Monte Beville",92,454,0.202643171806167
"Buddy Biancalana",113,550,0.205454545454545
"Jeff Bianchi",81,377,0.214854111405836
"Tommy Bianco",6,34,0.176470588235294
"Hank Biasatti",2,24,0.0833333333333333
"Dante Bichette",1906,6381,0.298699263438333
"Oscar Bielaski",180,746,0.241286863270777
"Charles Bierman",0,2,0
"Steve Bieser",20,80,0.25
"Carson Bigbee",1205,4192,0.287452290076336
